edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56600-AT4G17750,-1.749236,,,0.0,,2.3457879106370998e-17
AT1G56650-AT4G14090,11.413577,,914.0143,0.0272730348275182,,0.0009158911808995881
AT1G28300-AT4G14560,0.052838,,,0.0,,6.169147853471649e-11
AT4G36920-AT5G20240,-0.480206,,,0.00903387515996028,,6.7342557761204e-06
AT5G14960-AT5G22220,0.222952,,,0.00361090004751031,,1.89336107285349e-06
AT5G60910-AT5G67110,0.470257,,,0.000396845975334824,,1.6304410175813198e-07
AT5G60910-AT5G61850,2.234203,,,0.0,,4.85579439937988e-08
AT5G57050-AT5G67300,0.8790479999999999,,,0.00415393480919656,,3.81072731565882e-05
AT5G56110-AT5G62380,-0.042655,,,0.0,,1.0885408266055099e-10
AT5G53460-AT5G61420,-0.212611,,,0.0,,3.12980309428876e-06
AT5G52830-AT5G65010,0.926828,,,0.0021848634844403303,,2.95640713543355e-06
AT5G51990-AT5G52310,0.595743,,,1.67950426167083e-05,,8.683186042089921e-09
AT5G51600-AT5G61850,-0.106559,,,0.00319357657109475,,3.6095859770199297e-07
AT5G45980-AT5G59340,1.132209,,,0.00865080884395858,,6.59470247813571e-06
AT5G44420-AT5G67300,-0.284067,,,0.0,,1.28567026726357e-07
AT5G44420-AT5G62020,-0.650035,,,0.0010990206462183,,9.96534664622867e-07
AT5G44420-AT5G47220,1.594034,,,0.00474783685429999,,4.63872281842935e-05
AT5G40330-AT5G53200,1.514236,,,0.0135111183676448,,4.68946705522941e-05
AT5G37020-AT5G54510,0.743463,,,0.00425292245538389,,3.54521980608315e-06
AT5G35550-AT5G42800,-0.020294,,,0.0,,4.4705798802881603e-10
AT5G23000-AT5G53950,1.036824,,,0.0,,3.78031641757982e-11
AT5G23010-AT5G61420,8.130251,,143.42412,0.0425871480876326,,0.00218977408840779
AT5G18560-AT5G61850,-2.39442,,,0.0,,1.02526850058358e-09
AT5G13790-AT5G45890,-0.893033,,,0.0,,3.94463194306e-10
AT5G12870-AT5G62380,1.471572,,,0.00284828886714272,,5.11425001339582e-07
AT5G12030-AT5G16820,-0.013163,,,0.0,,2.06564401744701e-17
AT5G11260-ATCG00270,0.046683,,,0.00257375394713853,,1.8170073847074106e-05
AT5G11260-AT5G42800,-1.953691,,,0.0,,1.2852126809247e-09
AT5G11260-AT5G13930,2.006524,,,0.000910429516184634,,3.9886134429903296e-05
AT5G07700-AT5G23010,3.730631,,,0.007756496686697159,,4.34804771950605e-07
AT5G07690-AT5G61420,5.823533,,,0.0340777537348569,,0.00036668273142087
AT5G07690-AT5G23010,11.02449,0.3207903072703041,543.3267,0.0582339236005698,,0.0016416200065515196
AT5G06960-AT5G44420,1.762439,,,0.0025126924519766397,,9.90937832416191e-06
AT5G07100-AT5G60890,-0.37398,,,0.0016324899656635801,,4.94912467245812e-06
AT5G06100-AT5G61850,1.840844,,,0.0025116454783181198,,1.3040887020175601e-07
AT5G05730-AT5G60890,7.171369,,,0.0339727373514871,,0.00144384999601757
AT5G05410-AT5G59720,6.16567,,,0.0275768649591837,,0.0027952725026676893
AT5G05410-AT5G52310,-0.252562,,,0.0,,8.936605315833891e-07
AT5G05410-AT5G52300,2.150271,,,0.000690236716967264,,7.9177400220212e-07
AT5G04560-AT5G48670,-0.353015,,,0.000738776607442208,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.353015,,,0.000738776607442208,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.353015,,,0.000738776607442208,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.353015,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.353015,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.353015,,,0.0,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.353015,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.353015,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.353015,,,0.0,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.364204,,,0.000738776607442208,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.364204,,,0.000738776607442208,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.364204,,,0.000738776607442208,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.364204,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.364204,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.364204,,,0.0,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.364204,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.364204,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.364204,,,0.0,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.522972,,,0.000738776607442208,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.522972,,,0.000738776607442208,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.522972,,,0.000738776607442208,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.522972,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.522972,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.522972,,,0.0,,4.443217180776301e-09
AT5G04560-AT5G48670,-0.522972,,,0.0,,6.85954690818085e-07
AT5G04560-AT5G48670,-0.522972,,,0.0,,5.066108351882509e-16
AT5G04560-AT5G48670,-0.522972,,,0.0,,4.443217180776301e-09
AT5G03840-AT5G61850,-0.6601199999999999,,,0.0,,1.7317770985271298e-08
AT5G03680-AT5G06070,-1.328563,,,0.0,,6.528141194549489e-11
AT5G03790-AT5G61850,0.5656640000000001,,,0.00120072864667585,,2.04539403424923e-08
AT5G02200-AT5G11260,-0.160737,,,0.004772563953111189,,1.0382719643216299e-06
AT5G02030-AT5G67110,-1.992838,,,0.0,,2.21682012967088e-09
AT5G02030-AT5G61850,-0.946064,,,0.00179481692570234,,3.08534101010985e-07
AT3G61910-AT5G56110,-0.701997,,,0.0,,4.8163300495869e-09
AT3G61910-AT5G12870,0.196019,,,0.0,,6.23275149970276e-13
AT3G61250-AT5G61850,-0.597066,,,0.0,,3.71651093859764e-09
AT3G61250-AT5G13790,-0.268937,,,0.0,,5.45481630850692e-08
AT3G60750-AT4G36540,2.050641,,,0.0263249107206239,,0.00170497833520706
AT3G60750-AT5G61420,2.115856,,,0.0343148291754359,,0.000707795044085679
AT3G59030-AT5G35550,0.383374,,,0.00218556453156079,,2.13841684514907e-07
AT3G58780-AT4G36920,-1.090456,,,0.0,,5.7685750855918195e-09
AT3G58780-AT5G67110,2.638663,,,0.00103234168265279,,1.44563913929459e-09
AT3G58780-AT5G60910,2.000838,,,0.00175526953721337,,1.19372409164569e-08
AT3G58780-AT5G02030,-1.675452,,,0.0,,6.448254976828809e-12
AT3G58190-AT5G20730,-0.297737,,,0.0,,6.77929667878653e-09
AT3G57390-AT5G13790,0.981682,,,0.008652571304599321,,1.85426937528293e-05
AT3G56400-AT5G44420,0.795754,,,0.00146945057659476,,1.97867808173456e-06
AT3G56400-AT3G57260,8.554371000000002,,,0.0226574807117096,,0.0029251253683179
AT3G55730-AT5G47220,0.5448569999999999,,,0.00170303329918358,,1.9057093341646106e-05
AT3G55730-AT5G07100,-0.204333,,,0.0,,3.88248253133739e-07
AT3G55370-AT5G53450,-0.557191,,,0.0005414153808919919,,1.7473569121307598e-07
AT3G55370-AT3G56980,0.011565,,,0.00154579639426411,,2.51590054316772e-07
AT3G54220-AT5G03150,0.429236,,,0.0148471821948325,,4.85730397304688e-05
AT3G54320-AT5G15530,-1.266684,,,0.0,,2.22209455157917e-10
AT3G54320-AT5G15530,-1.266684,,,0.0,,7.49437984656951e-09
AT3G54320-AT5G15530,-1.266684,,,0.0,,2.22209455157917e-10
AT3G54320-AT5G15530,-1.266684,,,0.0,,7.49437984656951e-09
AT3G54320-AT5G15530,-0.360602,,,0.0,,2.22209455157917e-10
AT3G54320-AT5G15530,-0.360602,,,0.0,,7.49437984656951e-09
AT3G54320-AT5G15530,-0.360602,,,0.0,,2.22209455157917e-10
AT3G54320-AT5G15530,-0.360602,,,0.0,,7.49437984656951e-09
AT3G54320-AT5G49190,-0.5108550000000001,,,0.000278843975288739,,1.2918005039419597e-08
AT3G54320-AT5G49190,-0.5108550000000001,,,0.000278843975288739,,6.48934569682933e-10
AT3G54320-AT5G49190,-0.5108550000000001,,,0.0,,1.2918005039419597e-08
AT3G54320-AT5G49190,-0.5108550000000001,,,0.0,,6.48934569682933e-10
AT3G54320-AT5G49190,-0.913628,,,0.000278843975288739,,1.2918005039419597e-08
AT3G54320-AT5G49190,-0.913628,,,0.000278843975288739,,6.48934569682933e-10
AT3G54320-AT5G49190,-0.913628,,,0.0,,1.2918005039419597e-08
AT3G54320-AT5G49190,-0.913628,,,0.0,,6.48934569682933e-10
AT3G54340-AT5G20240,13.70947,0.1700544540078345,206.04541,0.0115237037381402,0.0626913,0.000278794385000159
AT3G54340-AT4G36920,-0.924552,,,0.00475817843719413,,1.8095347845764199e-06
AT3G54340-AT5G26340,2.178482,,,0.0,,2.17932388139056e-10
AT3G54340-AT5G61850,3.160689,,,0.0,,7.33845413553224e-08
AT3G54340-AT5G56860,0.224535,,,0.0,,6.89690332496316e-10
AT3G53200-AT5G53460,-1.461026,,,0.0,,6.796154847773518e-16
AT3G53200-AT3G60750,0.06618500000000001,,,0.0009089366376183821,,1.39316777989979e-08
AT3G50970-AT5G05410,5.839197,,,0.0388102042094795,,0.0038501254373791297
AT3G50340-AT5G20730,1.171988,,,0.0,,1.20133550042593e-07
AT3G44750-AT5G17430,-0.704494,,,0.0,,1.0562760639597799e-10
AT4G39950-AT5G60890,1.761555,,,0.0,,3.23119731357293e-06
AT4G39780-AT5G53460,0.595141,,,0.0,,6.8363641074517504e-06
AT4G38680-AT5G13790,-1.040558,,,0.00264686220355823,,2.7254820911719196e-08
AT4G38620-AT5G13930,-1.251381,,,0.0,,2.15231744129153e-13
AT4G38850-AT5G08130,-1.049324,,,0.0,,4.35013796371432e-12
AT4G37750-AT5G62000,-1.3387790000000002,,,0.0,,2.70691946201312e-09
AT4G37750-AT5G62000,-1.3387790000000002,,,0.0,,4.75468478231361e-06
AT4G37750-AT5G62000,-1.3387790000000002,,,0.000438498688819772,,2.70691946201312e-09
