edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56600-AT4G17750,0.911315,,,0.00179768502849312,,3.94503721877527e-07
AT1G56650-AT4G14090,4.3169260000000005,,,0.00348958397896221,,3.1210464355131197e-06
AT1G28300-AT4G14560,-0.44423,,,0.0,,3.506468437577891e-10
AT4G36920-AT5G20240,-0.84783,,,0.0,,7.733438558233091e-09
AT5G60910-AT5G67110,-1.132043,,,0.00010965478568560401,,4.00014691560669e-10
AT5G60910-AT5G61850,2.464218,,,0.0017788146512932,,2.00793299434496e-08
AT5G57050-AT5G67300,0.157869,,,0.0,,2.48811153295543e-07
AT5G56110-AT5G62380,-0.764822,,,0.0,,3.19537375713124e-10
AT5G53200-AT5G65930,-1.028035,,,0.0,,4.14795747558117e-10
AT5G53460-AT5G61420,1.3004950000000002,,,0.00936461549874511,,3.12601485550629e-05
AT5G52830-AT5G65010,-0.072157,,,0.00315783735905867,,9.82399086379414e-07
AT5G51990-AT5G52310,2.343095,,,0.00294840973611086,,3.179551498206e-06
AT5G51600-AT5G61850,0.817752,,,0.0,,1.2820639446368099e-11
AT5G45980-AT5G59340,-0.051293,,,0.0,,4.539057617497911e-11
AT5G44420-AT5G67300,0.32968600000000003,,,0.00157009008396757,,6.7594483483452986e-06
AT5G44420-AT5G62020,-0.161214,,,0.0,,9.138049771527241e-07
AT5G44420-AT5G47220,-0.540991,,,0.0,,6.6120128634392e-11
AT5G40330-AT5G53200,3.5742,,1121.7911,0.0150095627159446,,6.43976235278504e-05
AT5G37020-AT5G54510,-0.739446,,,0.0,,4.0780524725463995e-11
AT5G35550-AT5G42800,2.190244,,,0.00295647206177892,,3.76948289563879e-07
AT5G23000-AT5G53950,-0.766181,,,0.0,,2.46035805198653e-13
AT5G23010-AT5G61420,14.297035,,3357.8920000000007,0.0403936479412981,,0.00519632977219094
AT5G18560-AT5G61850,0.31452600000000003,,,0.0,,6.60314613560227e-11
AT5G13790-AT5G45890,-0.496453,,,0.00019096781693105,,3.78603330900922e-09
AT5G12870-AT5G62380,8.185194000000001,,420.4015,0.0142688113255108,,0.000145613984322648
AT5G12030-AT5G16820,-0.602179,,,0.0,,1.1776294747964e-11
AT5G11530-AT5G61850,-1.016313,,,0.0,,1.80311357670332e-10
AT5G11260-ATCG00270,-0.269375,,,0.0015988768984691699,,5.30868000653913e-07
AT5G11260-AT5G42800,-1.260873,,,0.0,,8.4872140249932e-12
AT5G11260-AT5G13930,6.146772,,,0.0136914516226711,,0.00022122926650798198
AT5G07700-AT5G23010,-0.540772,,,0.000598360910319501,,2.58741834075195e-08
AT5G07690-AT5G61420,-0.38193,,,0.0,,1.63707961045831e-10
AT5G07690-AT5G23010,-0.732841,,,0.0,,3.6384054450883895e-11
AT5G07100-AT5G60890,0.094049,,,0.000738006732086774,,2.52931646405152e-06
AT5G06100-AT5G61850,-1.7227009999999998,,,4.57487120188876e-06,,2.34622025587093e-09
AT5G05730-AT5G60890,-0.292116,,,0.0,,6.61115900695201e-12
AT5G05410-AT5G59720,3.815533,,,0.00603984006085421,,2.0588521846737e-05
AT5G05410-AT5G52310,3.053995,,,0.013000856388152,,0.00018876359467119
AT5G05410-AT5G52300,0.5207609999999999,,,0.0017387814972540801,,6.55847293463622e-07
AT5G04560-AT5G48670,-1.196548,,,0.0,,2.25455818892719e-12
AT5G04560-AT5G48670,-1.196548,,,0.0,,1.59113666296396e-11
AT5G04560-AT5G48670,-1.196548,,,0.0,,2.25455818892719e-12
AT5G04560-AT5G48670,-1.196548,,,0.0,,1.59113666296396e-11
AT5G04560-AT5G48670,-1.003545,,,0.0,,2.25455818892719e-12
AT5G04560-AT5G48670,-1.003545,,,0.0,,1.59113666296396e-11
AT5G04560-AT5G48670,-1.003545,,,0.0,,2.25455818892719e-12
AT5G04560-AT5G48670,-1.003545,,,0.0,,1.59113666296396e-11
AT5G03840-AT5G61850,-1.831459,,,0.0,,1.75154070506453e-19
AT5G03680-AT5G06070,2.7919560000000003,,,0.0,,7.2113567810777e-15
AT5G03740-AT5G17430,4.337399,,,0.015435527214723,,0.00373312151780846
AT5G03790-AT5G61850,0.15649100000000002,,,0.0,,8.81477703762262e-16
AT5G02200-AT5G11260,-0.937183,,,0.0,,8.254242223452179e-11
AT5G02030-AT5G67110,0.135417,,,0.0018524372760924895,,1.18074647227419e-07
AT5G02030-AT5G61850,0.392938,,,0.0,,2.02272691272466e-10
AT3G61910-AT5G56110,-0.499137,,,0.0,,1.15872195952575e-13
AT3G61910-AT5G12870,0.8863,,,0.0,,1.1411397898181399e-10
AT3G61250-AT5G61850,-0.620347,,,0.00014969576230859,,8.32550633054358e-10
AT3G61250-AT5G13790,-1.194932,,,0.0,,7.928756822396871e-11
AT3G59030-AT5G35550,0.099046,,,0.0,,9.04776209433174e-20
AT3G58780-AT4G36920,-0.501313,,,0.0,,1.94470790195031e-09
AT3G58780-AT5G67110,-0.7705489999999999,,,0.0,,2.1167390240046697e-09
AT3G58780-AT5G60910,-0.267891,,,0.0,,6.822484642414229e-11
AT3G58780-AT5G02030,-1.139228,,,0.0,,1.6566829614635299e-09
AT3G57390-AT5G13790,3.5365620000000004,,1151.9454,0.0120661809503809,,5.44879462548321e-05
AT3G56400-AT5G44420,-0.130958,,,0.0,,2.87736220067466e-07
AT3G56400-AT3G57260,2.578216,,,0.00634985832594961,,8.06612223709909e-06
AT3G55370-AT5G53450,-0.51472,,,0.0,,6.929567478866751e-13
AT3G55370-AT3G56980,-0.036971,,,0.000312489051974587,,1.97770213847473e-06
AT3G54220-AT5G03150,14.938305,0.19583398332499555,2607.0205,0.043524453415206,0.111721,0.0064693088661583
AT3G54320-AT5G15530,2.120256,,,0.0131544990523681,,6.34532294675006e-05
AT3G54320-AT5G15530,2.120256,,,0.0131544990523681,,0.0008194170003051661
AT3G54320-AT5G15530,2.120256,,,0.0187810439877135,,6.34532294675006e-05
AT3G54320-AT5G15530,2.120256,,,0.0187810439877135,,0.0008194170003051661
AT3G54320-AT5G15530,2.694106,,,0.0131544990523681,,6.34532294675006e-05
AT3G54320-AT5G15530,2.694106,,,0.0131544990523681,,0.0008194170003051661
AT3G54320-AT5G15530,2.694106,,,0.0187810439877135,,6.34532294675006e-05
AT3G54320-AT5G15530,2.694106,,,0.0187810439877135,,0.0008194170003051661
AT3G54320-AT5G52920,0.991665,,2455.1428,0.0087321677683597,0.199833,5.0940564321741e-05
AT3G54320-AT5G52920,0.991665,,2455.1428,0.0087321677683597,0.199833,0.0151589628545869
AT3G54320-AT5G52920,0.991665,,2455.1428,0.0673846573242635,0.199833,5.0940564321741e-05
AT3G54320-AT5G52920,0.991665,,2455.1428,0.0673846573242635,0.199833,0.0151589628545869
AT3G54320-AT5G52920,6.021561,,2455.1428,0.0087321677683597,0.199833,5.0940564321741e-05
AT3G54320-AT5G52920,6.021561,,2455.1428,0.0087321677683597,0.199833,0.0151589628545869
AT3G54320-AT5G52920,6.021561,,2455.1428,0.0673846573242635,0.199833,5.0940564321741e-05
AT3G54320-AT5G52920,6.021561,,2455.1428,0.0673846573242635,0.199833,0.0151589628545869
AT3G54320-AT5G49190,1.211044,,,0.0021818384010676,,9.13995385171192e-07
AT3G54320-AT5G49190,1.211044,,,0.0021818384010676,,5.73546664754603e-06
AT3G54320-AT5G49190,1.211044,,,0.00253995031660014,,9.13995385171192e-07
AT3G54320-AT5G49190,1.211044,,,0.00253995031660014,,5.73546664754603e-06
AT3G54320-AT5G49190,0.774755,,,0.0021818384010676,,9.13995385171192e-07
AT3G54320-AT5G49190,0.774755,,,0.0021818384010676,,5.73546664754603e-06
AT3G54320-AT5G49190,0.774755,,,0.00253995031660014,,9.13995385171192e-07
AT3G54320-AT5G49190,0.774755,,,0.00253995031660014,,5.73546664754603e-06
AT3G54340-AT5G20240,1.367586,,,0.0,,1.3195067724896498e-20
AT3G54340-AT4G36920,-1.31788,,,0.0,,1.37632045690258e-13
AT3G54340-AT5G26340,-0.245914,,,0.0,,1.2344073732511e-08
AT3G54340-AT5G61850,1.470144,,,0.000247059547171659,,6.357629467891248e-10
AT3G54340-AT5G56860,-0.329377,,,0.0,,5.94803257624465e-17
AT3G53200-AT5G53460,-1.08456,,,0.0,,4.32315761547169e-17
AT3G50970-AT5G05410,7.232728,,663.8559,0.0525269710448994,,0.00285710818884985
AT3G44750-AT5G17430,3.0136990000000003,,,0.0235859775692418,,0.00363108760308644
AT4G39950-AT5G60890,14.199553,0.21555405430045504,3396.1453,0.0545509662087854,0.149302,0.00498355417260119
AT4G39780-AT5G53460,0.361605,,,0.00183349414670373,,6.48911753536336e-06
AT4G38680-AT5G13790,-0.772505,,,0.000719298242182192,,1.27935197868664e-08
AT4G38620-AT5G13930,1.732802,,,0.0120925329597241,,0.000126098436422321
AT4G38850-AT5G08130,0.644981,,,0.0,,3.40232960881077e-11
AT4G37750-AT5G62000,-0.707655,,,0.0,,1.1215886094258098e-13
AT4G37750-AT5G62000,-0.707655,,,0.0,,1.7444118405208496e-10
AT4G37750-AT5G62000,-0.707655,,,0.0,,1.1215886094258098e-13
AT4G37750-AT5G62000,-0.707655,,,0.0,,1.7444118405208496e-10
AT4G37750-AT5G62000,-0.856448,,,0.0,,1.1215886094258098e-13
AT4G37750-AT5G62000,-0.856448,,,0.0,,1.7444118405208496e-10
