edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT4G13940-AT4G25560,1.878757,,,0.00991867048545481,,3.15523424069901e-05
AT1G56600-AT4G17750,2.4810950000000003,,,0.0151653197214892,,0.000344160499612243
AT1G56650-AT4G14090,11.787954,0.17317968708756168,1547.531,0.0175508471742262,0.0712317,0.000319001934565152
AT1G28300-AT4G14560,3.36139,,,0.0,,4.4672008075694e-11
AT4G36920-AT5G20240,-1.214055,,,0.0,,8.111231764186578e-10
AT5G14960-AT5G22220,-0.623045,,,0.000489335119904392,,2.47368575316002e-07
AT5G60910-AT5G67110,2.358231,,,0.00383122103670231,,1.32435212621326e-05
AT5G60910-AT5G61850,0.358093,,,0.0,,2.34017646056453e-11
AT5G57050-AT5G67300,1.390166,,,0.0134072597989864,,0.000322718644821717
AT5G56110-AT5G62380,-1.731742,,,0.0,,6.95213963880646e-12
AT5G53460-AT5G61420,-0.030151,,,0.0,,6.534960348784139e-08
AT5G52830-AT5G65010,0.587695,,,0.000306100323629952,,4.99211427824816e-07
AT5G51990-AT5G52310,-0.109081,,,0.0,,5.2637712294709694e-08
AT5G51600-AT5G61850,0.354408,,,0.00415403234407742,,5.12384991057503e-07
AT5G45980-AT5G59340,-0.182826,,,0.0,,2.79539550217545e-11
AT5G44420-AT5G67300,0.624038,,,8.775766316183349e-05,,3.27749740474311e-06
AT5G44420-AT5G62020,-1.476479,,,0.0,,5.82237916827279e-08
AT5G44420-AT5G47220,-0.35248,,,0.0,,1.260714354574e-09
AT5G40330-AT5G53200,-0.032128,,,0.0,,7.33405914751037e-10
AT5G37020-AT5G54510,-0.582216,,,0.0,,3.63343429029104e-07
AT5G35550-AT5G42800,14.794604,0.34615060834695016,788.62805,0.0369157823618289,,0.00858834050041043
AT5G23000-AT5G53950,0.452028,,,0.0,,1.0507768035284699e-07
AT5G23010-AT5G61420,11.291732,,649.6894,0.0151170206933982,,0.0007644170367365291
AT5G18560-AT5G61850,-0.609102,,,0.0,,2.79437813634e-17
AT5G13790-AT5G45890,3.948436,,,0.000134130013085161,,2.41645667401768e-06
AT5G12870-AT5G62380,0.15831099999999998,,,0.0,,1.1302944155419298e-10
AT5G12030-AT5G16820,4.540037,,,0.0266593722564923,,0.00652863992310677
AT5G11530-AT5G61850,-0.559326,,,0.0,,9.571919666951713e-12
AT5G11260-ATCG00270,-0.728043,,,0.00010958150712524599,,5.76116061849867e-07
AT5G11260-AT5G42800,0.689555,,,0.00937105487046724,,5.9520090526374e-06
AT5G11260-AT5G13930,2.452714,,,0.00151239927866961,,4.55419912448151e-05
AT5G07700-AT5G23010,-0.842467,,,0.0,,1.8093054645464698e-18
AT5G07690-AT5G61420,0.245862,,,0.000572035429127464,,6.479647154305721e-09
AT5G07690-AT5G23010,-1.003619,,,0.0,,4.2486705935955396e-08
AT5G06960-AT5G44420,-0.997613,,,0.0,,8.798726401396222e-09
AT5G07100-AT5G60890,0.117089,,,0.0,,8.267712799917378e-08
AT5G06100-AT5G61850,-1.257919,,,0.0,,2.91322651340887e-11
AT5G05730-AT5G60890,1.848609,,,0.0129506227679827,,0.000216588353572545
AT5G05410-AT5G59720,2.143721,,,0.00676126658188144,,2.1274642315139607e-05
AT5G05410-AT5G52310,5.487273,,187.94316,0.0434406994903939,,0.0017912188469227102
AT5G05410-AT5G52300,6.116214,,187.88298,0.0471826659763631,0.206276,0.01097707168628
AT5G04560-AT5G48670,-1.491095,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.491095,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.491095,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,-1.491095,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.491095,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.491095,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,-1.491095,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.491095,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.491095,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,0.623337,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,0.623337,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,0.623337,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,0.623337,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,0.623337,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,0.623337,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,0.623337,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,0.623337,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,0.623337,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,-1.513065,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.513065,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.513065,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,-1.513065,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.513065,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.513065,,,0.0,,2.49431698269816e-10
AT5G04560-AT5G48670,-1.513065,,,0.0,,4.1154421766635095e-16
AT5G04560-AT5G48670,-1.513065,,,0.0,,1.5911710286897301e-07
AT5G04560-AT5G48670,-1.513065,,,0.0,,2.49431698269816e-10
AT5G03840-AT5G61850,-0.21559,,,0.0,,1.1606227813646599e-11
AT5G03680-AT5G06070,0.8336870000000001,,,0.0,,2.29138973406873e-17
AT5G03790-AT5G61850,-0.774213,,,0.00109951734914061,,2.8782681663990098e-08
AT5G03280-AT5G67300,0.843182,,,0.0,,7.033725611519779e-11
AT5G02200-AT5G11260,0.586811,,,0.00107469670730441,,3.05316383283769e-07
AT5G02030-AT5G67110,2.294906,,,0.0311031476057121,,0.000542289027409632
AT5G02030-AT5G61850,0.572032,,,0.0,,6.03050074151573e-18
AT3G61830-AT4G13940,-0.299393,,,0.000311259281695188,,6.94182731552664e-08
AT3G61910-AT5G56110,-0.963917,,,0.0,,1.8342970666448294e-09
AT3G61910-AT5G12870,3.063468,,,0.00530957534044891,,1.66824439724003e-05
AT3G61250-AT5G61850,-1.170314,,,0.0,,1.3309614516948001e-11
AT3G61250-AT5G13790,0.12323,,,0.0,,3.29383094472429e-07
AT3G60750-AT4G36540,0.323411,,,0.0,,1.0016243146966501e-07
AT3G60750-AT5G61420,0.296373,,,0.0,,7.90759774466165e-09
AT3G59060-AT5G35840,-0.746395,,,0.0,,1.4505673108394499e-12
AT3G59030-AT5G35550,12.184192,,347.8176,0.0294381606774626,,0.0038634885946647
AT3G58780-AT4G36920,4.071377,,,0.0126022173145935,,6.0338649199292005e-05
AT3G58780-AT5G67110,0.542845,,,0.0112672157692461,,2.15130086529135e-05
AT3G58780-AT5G60910,1.205767,,,0.0062948594979110786,,1.18540100828573e-05
AT3G58780-AT5G02030,8.306086,,,0.0179204545096678,,0.00149783492715633
AT3G58190-AT5G20730,-0.922454,,,0.0,,1.61840323841856e-08
AT3G57390-AT5G13790,-0.089791,,,0.0,,1.3142935635198998e-12
AT3G56400-AT5G44420,-0.631409,,,0.0,,2.63510206896424e-19
AT3G56400-AT3G57260,3.813848,,,0.00551929530066703,,9.40448033666112e-06
AT3G55730-AT5G47220,-0.080638,,,0.0,,6.20381054555445e-09
AT3G55730-AT5G07100,-0.757459,,,0.0,,1.54486854790453e-07
AT3G55370-AT5G53450,-0.892423,,,0.0,,6.94340628909169e-10
AT3G55370-AT3G56980,-0.169196,,,0.0,,7.371910294466999e-12
AT3G54990-AT4G13940,0.654025,,,0.00212886218535005,,2.7583422779417e-05
AT3G54220-AT5G03150,4.780678,,280.03806000000003,0.023187569009178,,0.000310106996992413
AT3G54320-AT5G15530,9.855619,0.5016666567022962,402.97217,0.0524502025722937,,0.00550113102102345
AT3G54320-AT5G15530,9.855619,0.5016666567022962,402.97217,0.0524502025722937,,0.0285741249541255
AT3G54320-AT5G15530,9.855619,0.5016666567022962,402.97217,0.0509029735009649,,0.00550113102102345
AT3G54320-AT5G15530,9.855619,0.5016666567022962,402.97217,0.0509029735009649,,0.0285741249541255
AT3G54320-AT5G15530,9.855619,0.5016666567022962,468.072,0.0524502025722937,,0.00550113102102345
AT3G54320-AT5G15530,9.855619,0.5016666567022962,468.072,0.0524502025722937,,0.0285741249541255
AT3G54320-AT5G15530,9.855619,0.5016666567022962,468.072,0.0509029735009649,,0.00550113102102345
AT3G54320-AT5G15530,9.855619,0.5016666567022962,468.072,0.0509029735009649,,0.0285741249541255
AT3G54320-AT5G15530,11.341188,0.5016666567022962,402.97217,0.0524502025722937,,0.00550113102102345
AT3G54320-AT5G15530,11.341188,0.5016666567022962,402.97217,0.0524502025722937,,0.0285741249541255
AT3G54320-AT5G15530,11.341188,0.5016666567022962,402.97217,0.0509029735009649,,0.00550113102102345
AT3G54320-AT5G15530,11.341188,0.5016666567022962,402.97217,0.0509029735009649,,0.0285741249541255
