edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56600-AT4G17750,-0.003177,,,0.000204338519304074,,1.3086087792498901e-15
AT1G56650-AT4G14090,21.496103,,3813.7375,0.0418128216392378,,0.0294203832374963
AT1G28300-AT4G14560,2.053833,,,0.00331779597503794,,4.4616729149996395e-07
AT4G36920-AT5G20240,0.789338,,,0.0,,7.73267267641663e-08
AT5G60910-AT5G67110,2.297266,,,0.00525805448520506,,7.78642962827608e-06
AT5G60910-AT5G61850,13.910439000000002,,517.3485,0.0132379734055506,,0.000393528002245048
AT5G57050-AT5G67300,-0.080317,,,0.0,,1.264967097622e-06
AT5G56110-AT5G62380,2.658275,,,0.00437350991954828,,3.10171156081359e-07
AT5G53460-AT5G61420,3.132205,,,0.0100240357562655,,1.24645951227661e-05
AT5G52830-AT5G65010,-0.744444,,,0.0,,3.84382040826252e-10
AT5G51990-AT5G52310,-0.5705180000000001,,,0.0,,3.79328026389855e-15
AT5G51600-AT5G61850,0.4757020000000001,,,0.00211008882478441,,1.65033452220685e-06
AT5G45980-AT5G59340,-1.454557,,,0.0,,7.842648211468229e-19
AT5G44420-AT5G67300,-0.365559,,,0.0,,5.05192064366608e-12
AT5G44420-AT5G62020,-0.771359,,,0.0,,1.11459262699361e-10
AT5G44420-AT5G47220,0.559431,,,0.00256276548425311,,2.0005664770352107e-07
AT5G40330-AT5G53200,0.442332,,,0.00371001187830874,,4.5312800031858797e-07
AT5G35550-AT5G42800,-0.7853640000000001,,,0.0,,9.69349199084185e-12
AT5G23000-AT5G53950,2.865964,,,0.00441938495967137,,6.647708883003978e-07
AT5G23010-AT5G61420,13.453404,,173.73486,0.0422988087928195,,0.0181680217839997
AT5G18560-AT5G61850,1.821279,,,0.00484451919715773,,1.56155849816604e-06
AT5G13790-AT5G45890,-0.288169,,,9.353790616308472e-05,,8.875433114724159e-11
AT5G12870-AT5G62380,6.005991000000002,,,0.00457199705577425,,5.8941314574110804e-06
AT5G12030-AT5G16820,-0.577184,,,0.0,,6.23455305212084e-09
AT5G11260-ATCG00270,-0.5040600000000001,,,0.0,,4.71617535730105e-10
AT5G11260-AT5G42800,-0.618484,,,0.0,,3.1989420121822597e-12
AT5G11260-AT5G13930,3.193196,,,0.013868973301708998,,0.000122255568308571
AT5G07700-AT5G23010,7.1249600000000015,,272.3736,0.0200045461764222,,0.000214003395649731
AT5G07690-AT5G61420,17.407238,,687.0355,0.0566712476474876,,0.0288301513728174
AT5G07690-AT5G23010,25.682468,,2743.6482,0.0603578308014477,,0.12579053740752802
AT5G06960-AT5G44420,-0.87631,,,5.8692768526984585e-06,,3.07105415347047e-09
AT5G07100-AT5G60890,2.3899,,,0.005536269623114661,,7.657255690235749e-05
