edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,0.458776,,,0.0,,3.08941877200955e-08
ATCG01060-ATMG00650,-0.375673,,,0.0018814476136071398,,9.836280209327179e-08
ATCG01060-ATMG00660,-0.150653,,,0.00461731849998296,,6.54935171486934e-06
ATCG01060-ATMG00670,-0.109955,,,0.0,,9.17438591579849e-07
ATCG01060-ATMG00680,-1.201777,,,0.0,,2.4253542322458506e-11
ATCG01060-ATMG00690,-1.08654,,,0.0,,2.2839709792762e-13
ATCG01060-ATMG00710,-0.339915,,,0.0023603970652516697,,3.18784705867026e-07
ATCG01060-ATMG00720,-1.260785,,,0.0,,1.55752650646677e-14
ATCG01060-ATMG00740,-0.921197,,,0.0018399483884248894,,5.021358897309901e-08
ATCG01060-ATMG00870,0.170689,,,0.0,,8.767991422326379e-24
ATCG01060-ATMG00510,0.5585319999999999,,,0.0,,3.8404454948038e-15
ATCG01060-ATMG00600,-0.44253,,,0.0,,1.56988565625495e-09
ATCG01060-ATMG00630,-0.353118,,,0.0,,1.52710235059725e-09
ATCG01070-ATMG00640,0.74802,,,0.0,,1.74409636760757e-08
ATCG01070-ATMG00650,0.115067,,,0.00038019056994791897,,1.62652506655943e-07
ATCG01070-ATMG00660,0.025784,,,0.0104559641292084,,1.24825829878922e-05
ATCG01070-ATMG00670,0.335167,,,0.003786390257672421,,1.3494055109068701e-06
ATCG01070-ATMG00680,-1.527526,,,0.0,,8.55266058946142e-11
ATCG01070-ATMG00690,-0.47266,,,0.0,,6.44624375496016e-10
ATCG01070-ATMG00710,-0.474972,,,0.006679220352030261,,1.7652078257966e-06
ATCG01070-ATMG00720,-0.854324,,,0.0,,5.84119691594067e-08
ATCG01070-ATMG00740,-0.937149,,,0.0,,3.7227690563104296e-13
ATCG01070-ATMG00870,-1.378303,,,0.0,,2.0964674872770004e-11
ATCG01070-ATMG00510,0.205692,,,0.0,,1.12809547434314e-18
ATCG01070-ATMG00600,0.19394,,,0.0,,4.513150719084479e-15
ATCG01070-ATMG00630,-0.465667,,,0.0,,6.5777938106485e-11
ATCG01080-ATMG00640,-0.372441,,,0.0,,1.95838866012928e-08
ATCG01080-ATMG00650,-0.614392,,,0.0,,1.38809419623525e-17
ATCG01080-ATMG00660,-0.111655,,,0.004650448242817721,,3.7492028303128494e-06
ATCG01080-ATMG00670,0.152016,,,0.0,,2.02001125047064e-07
ATCG01080-ATMG00680,-1.6521259999999998,,,0.0,,2.2806648779648008e-09
ATCG01080-ATMG00690,-0.880764,,,0.0,,8.59813568336768e-07
ATCG01080-ATMG00710,-0.521046,,,0.00314458434183325,,5.035881921803761e-07
ATCG01080-ATMG00720,-1.911194,,,0.0,,6.334454663930741e-11
ATCG01080-ATMG00740,0.007932999999999999,,,0.00132196964557786,,1.3024535427528401e-07
ATCG01080-ATMG00870,-0.799311,,,0.0,,3.5160183755469106e-09
ATCG01080-ATMG00510,-0.969213,,,0.0,,1.1382533760981302e-11
