edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56600-AT4G17750,-0.661366,,,0.0,,7.80133265774534e-07
AT1G56650-AT4G14090,5.129692,,450.11505,0.0291385959843797,,0.0025338090605732
AT1G28300-AT4G14560,-0.76463,,,0.0,,4.08102607372679e-10
AT4G36920-AT5G20240,-0.783826,,,0.0,,4.05748532833949e-07
AT5G60910-AT5G67110,-0.536341,,,0.00039096380174767403,,2.74939004110293e-07
AT5G60910-AT5G61850,1.327839,,,0.0049545264732088,,6.48773891281629e-06
AT5G57050-AT5G67300,0.517184,,,0.0,,3.0080855428219703e-13
AT5G56110-AT5G62380,-0.421641,,,0.00125375259679895,,9.99888206474245e-07
AT5G53200-AT5G65930,-0.415107,,,0.0,,1.2047062659186899e-08
AT5G53460-AT5G61420,-0.629169,,,0.0,,2.55790847640474e-07
AT5G52830-AT5G65010,1.4144139999999998,,,0.0215516218906675,,0.00567247936974834
AT5G51990-AT5G52310,-2.056187,,,0.0,,2.6122985782441802e-12
AT5G51600-AT5G61850,-0.917362,,,0.0,,1.7410954278969001e-09
AT5G45980-AT5G59340,-0.99805,,,0.0,,2.3776722135971196e-10
AT5G44420-AT5G67300,0.6800149999999999,,,0.0105723513307046,,0.00030817304915279904
AT5G44420-AT5G62020,-0.658224,,,0.0,,3.54229113430289e-08
AT5G44420-AT5G47220,1.607365,,,0.0238893771460383,,0.0023107353739567
AT5G40330-AT5G53200,-0.05394,,,0.00801971809916752,,1.68509416724849e-05
AT5G37020-AT5G54510,-0.444995,,,0.0,,7.364496195764952e-08
AT5G35550-AT5G42800,-0.543535,,,0.0,,3.99767214580958e-08
AT5G23000-AT5G53950,-1.22363,,,0.0,,1.14772599852605e-10
AT5G23010-AT5G61420,4.842979,,,0.0606829162706393,,0.0191005243856592
AT5G18830-AT5G59520,0.520913,,,0.00763178644545692,,0.000356611390872521
AT5G18830-AT5G59030,2.316362,,,0.0268983323887847,,0.0031784045549704603
AT5G18830-AT5G24380,1.384276,,,0.0264072405522102,,0.000274031598215976
AT5G18560-AT5G61850,-1.268919,,,0.0,,3.409989513058069e-07
AT5G13790-AT5G45890,0.829888,,,0.000282963571400773,,9.80050556965672e-08
AT5G12870-AT5G62380,5.111786,,,0.0229569335501904,,0.00203805021726302
AT5G12030-AT5G16820,-0.117836,,,0.0,,3.22746357971885e-08
AT5G11530-AT5G61850,0.8165789999999999,,,0.0,,5.29009306046944e-10
AT5G11260-ATCG00270,0.748753,,,0.017733363097788998,,0.00065778697174193
AT5G11260-AT5G42800,-0.566601,,,0.0,,3.84954738597079e-06
AT5G11260-AT5G13930,2.760788,,,0.0117304259093228,,6.98755643204401e-07
AT5G07700-AT5G23010,0.103419,,,0.00567647902360667,,5.76110522580438e-06
AT5G07690-AT5G61420,1.164428,,,0.0197663639855674,,0.000767231683011137
AT5G07690-AT5G23010,3.287201,,,0.0564567089025377,,0.0170807519655214
AT5G06960-AT5G44420,0.031081,,,0.0022324425797472396,,0.000200946972226676
AT5G07100-AT5G60890,0.142371,,,0.0064250273815944295,,0.000101293079706513
AT5G06100-AT5G61850,0.197431,,,0.0,,4.6232131527106205e-10
AT5G05730-AT5G60890,-0.455842,,,0.0,,1.15123966899869e-06
AT5G05410-AT5G59720,4.42611,,,0.0211496537704367,,0.00130742208160335
AT5G05410-AT5G52310,-0.794177,,,0.0,,1.01998696828379e-09
AT5G05410-AT5G52300,-0.542231,,,0.0012039348988779099,,1.78659091032273e-06
AT5G04560-AT5G48670,-1.531132,,,0.0,,6.53385876814115e-12
AT5G04560-AT5G48670,-1.531132,,,0.0,,1.804305982909e-05
AT5G04560-AT5G48670,-1.531132,,,0.00440980039423559,,6.53385876814115e-12
AT5G04560-AT5G48670,-1.531132,,,0.00440980039423559,,1.804305982909e-05
AT5G04560-AT5G48670,0.675238,,,0.0,,6.53385876814115e-12
AT5G04560-AT5G48670,0.675238,,,0.0,,1.804305982909e-05
AT5G04560-AT5G48670,0.675238,,,0.00440980039423559,,6.53385876814115e-12
AT5G04560-AT5G48670,0.675238,,,0.00440980039423559,,1.804305982909e-05
AT5G03840-AT5G61850,-1.388624,,,0.0,,4.6117129360578496e-10
AT5G03680-AT5G06070,-1.426051,,,0.000742665257485793,,4.31558165270846e-08
AT5G03790-AT5G61850,-0.474671,,,2.8077726259952397e-05,,8.55934345941853e-09
AT5G03280-AT5G67300,2.750118,,,0.0264939697179118,,0.000615071442100087
AT5G02200-AT5G11260,3.064539,,,0.0374794849548314,,0.00224646900659102
AT5G02030-AT5G67110,1.408112,,,0.0,,2.73295960539557e-10
AT5G02030-AT5G61850,0.161552,,,0.005949158055815721,,3.22034988657071e-06
AT3G61910-AT5G56110,-2.126712,,,0.0,,1.0428960007407799e-09
AT3G61910-AT5G12870,-0.592112,,,0.0,,5.66138516113943e-09
AT3G61250-AT5G61850,-1.152462,,,0.000814331268873814,,3.5329223111795103e-07
AT3G61250-AT5G13790,0.998269,,,0.004342481683016829,,7.1243568997248505e-06
AT3G60750-AT4G36540,3.453058,,,0.0475538200891878,,0.0621855347165598
AT3G60750-AT5G61420,1.040984,,,0.0236441862329349,,0.000376226610407471
