edge,chemical,development,flower,hormone-aba-iaa-ga-br,hormone-ja-sa-ethylene,leaf,light,nutrients,root,rosette,seed,seedling1wk,seedling2wk,shoot,stress-light,stress-other,stress-pathogen,stress-salt-drought,stress-temperature,wholeplant,wt,avgwt
ATCG00710-ATMG00670,,,,,,0.04333,,,,,,,,,,,,,,,0.04333,0.04333
ATCG00020-ATMG00630,,,,,0.031494,,,,,,,,,,,,,,,,0.031494,0.031494
ATCG00340-ATMG00660,,,,,,,,,,,0.186197,,,,,,,,,,0.186197,0.186197
ATCG00430-ATMG00630,0.0846402,,,,,,,,,,,,,,,,,,,,0.0846402,0.0846402
ATCG00500-ATMG00660,,,,,,,,,,,,,,,,,,,0.10285699999999999,,0.10285699999999999,0.10285699999999999
ATCG00500-ATMG00630,,,,,0.029160500000000002,,,,,,,,,,,,,,,,0.029160500000000002,0.029160500000000002
ATCG01050-ATMG00110,,,,,,,,,,,,,,0.0578024,,,,,,,0.0578024,0.0578024
ATCG01040-ATMG00400,0.0756318,,,,,,,,,,,,,,,,,,,,0.0756318,0.0756318
ATCG00380-ATMG00720,0.0601308,,,,,,,,,,,,,,,,,,,,0.0601308,0.0601308
ATCG00150-ATMG00660,,,,,,,,,,,,,,,,,,,0.09841889999999999,,0.09841889999999999,0.09841889999999999
ATCG00210-ATMG00660,,,,,,,,,,,,,,,0.102314,,,,,,0.102314,0.102314
ATCG00210-ATMG00400,,,0.0784255,,,,,,,,,,,,,,,,,,0.0784255,0.0784255
ATCG00210-ATMG00120,,,,,,,0.044594,,,,0.167156,,,,,,,,,,0.167156,0.105875
ATCG00210-ATMG00740,,,,,,,,,,,,0.034081099999999996,0.024566900000000003,,,,,,,,0.034081099999999996,0.029324
ATCG00820-ATMG00660,,,,,,,,,0.201816,,,,,,,,,,,,0.201816,0.201816
ATCG00350-ATMG00670,,,,,,,,,,,,,,,,,,,0.0877674,,0.0877674,0.0877674
ATCG00180-ATMG00660,,,,,,,0.12781700000000001,,,0.15029800000000001,,,,,,,,,0.09637810000000001,,0.15029800000000001,0.12483103333333335
ATCG00360-ATMG00630,,,,,,,,0.07906010000000001,,,,,,,,,,,,,0.07906010000000001,0.07906010000000001
ATCG00360-ATMG00670,,,,,,,,,,,,,,,,,,,0.0824695,,0.0824695,0.0824695
ATCG00700-ATMG00630,,,,,,,,0.08783880000000001,,,,,,,,,,,,,0.08783880000000001,0.08783880000000001
ATCG01070-ATMG00630,0.0842983,,,,,,,,,,,,,,,,,,,,0.0842983,0.0842983
ATCG01080-ATMG00870,,,,,,,,,0.0322895,,,,,,,,,,,,0.0322895,0.0322895
ATCG01080-ATMG00740,,,,,,,,0.053060199999999995,,,,,,,,,,,,,0.053060199999999995,0.053060199999999995
ATCG00730-ATMG00160,,,,,0.0607976,,,,,,,,,,,,,,,,0.0607976,0.0607976
ATCG00730-ATMG00400,,,0.07899289999999999,,,,,,,,,,,,,,,,,,0.07899289999999999,0.07899289999999999
ATCG00730-ATMG00120,,,,0.0937636,0.0355093,,,,,,,,,0.0910493,,,,,,,0.0937636,0.07344073333333333
ATCG00730-ATMG00740,,,,,,,0.034146300000000004,0.053245299999999995,,,,0.0371957,,,,,,,,,0.053245299999999995,0.0415291
ATCG00730-ATMG00600,,,0.047003300000000005,,,,,,,,,,,,,,,,,,0.047003300000000005,0.047003300000000005
