edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,0.757366,,,0.00656069592754306,,3.01866422677873e-06
ATCG01060-ATMG00650,2.250168,,,0.0102543687150515,,3.229094469445589e-05
ATCG01060-ATMG00660,5.849596,,,0.0103415767554893,,0.000427512120782917
ATCG01060-ATMG00670,1.406988,,,0.00342748869426653,,9.298623488393749e-07
ATCG01060-ATMG00680,-0.765759,,,0.0,,2.01939301334793e-13
ATCG01060-ATMG00690,6.7376570000000005,,,0.009125842519696059,,0.000260822136182569
ATCG01060-ATMG00710,1.240312,,,0.00323809137716103,,1.98473633928289e-06
ATCG01060-ATMG00720,-0.304666,,,0.0,,8.95515560049545e-11
ATCG01060-ATMG00740,2.1128099999999996,,138.40767,0.005068002273590021,,6.85599422652977e-06
ATCG01060-ATMG00870,-0.706308,,,0.0,,7.794004525289201e-09
ATCG01060-ATMG00510,-0.046044999999999996,,,0.0,,4.14482266490799e-12
ATCG01060-ATMG00600,-0.84155,,,0.000550334912175427,,3.68682877636419e-08
ATCG01060-ATMG00630,1.227926,,,0.0026286689332047602,,6.32670380599368e-07
ATCG01070-ATMG00640,0.289444,,,0.0056686237497906395,,5.4456625436723e-06
ATCG01070-ATMG00650,2.020738,,,0.00901316252820838,,1.18743281700591e-05
ATCG01070-ATMG00660,3.844315,,,0.00729528927611807,,0.000191212899433655
ATCG01070-ATMG00670,1.863616,,,0.0028080927386404,,8.625444164338271e-07
ATCG01070-ATMG00680,-0.14798,,,0.0,,2.8684239200447997e-15
ATCG01070-ATMG00690,2.751388,,,0.00634110882806146,,4.19683219297794e-05
ATCG01070-ATMG00710,0.8267450000000001,,,0.0035198940937872,,1.73267447102262e-06
ATCG01070-ATMG00720,-1.140774,,,0.0,,1.17186646519218e-13
ATCG01070-ATMG00740,0.40766199999999997,,,0.00352600100318957,,1.9760285337966703e-06
ATCG01070-ATMG00870,-0.962275,,,0.0,,2.1283701356561897e-11
ATCG01070-ATMG00510,-0.036989,,,0.0045342259119990295,,3.40430110750442e-07
ATCG01070-ATMG00600,0.340084,,,0.00361193641563689,,5.58126063935913e-07
ATCG01070-ATMG00630,0.43125399999999997,,,0.00509527487696037,,2.66611247262602e-06
ATCG01080-ATMG00640,-0.309174,,,0.00426534826796195,,2.78891936760777e-06
ATCG01080-ATMG00650,1.37201,,,0.0123855351455522,,4.33162631523245e-05
ATCG01080-ATMG00660,4.367177,,,0.0105814670366165,,0.000128585628147978
ATCG01080-ATMG00670,0.449071,,,0.00343513627392871,,1.53687626088546e-06
ATCG01080-ATMG00680,-0.7167789999999999,,,0.0,,2.08243601438968e-12
ATCG01080-ATMG00690,2.297542,,,0.0053489188970012105,,2.7056457969044198e-05
ATCG01080-ATMG00710,1.465884,,,0.00359733250850854,,2.11395658696902e-06
ATCG01080-ATMG00720,-0.176586,,,0.00426423349147522,,9.40961626770551e-07
ATCG01080-ATMG00740,3.4555269999999996,,,0.0108711316601128,,4.26303947419524e-05
ATCG01080-ATMG00870,-0.930628,,,0.0012682507978892198,,3.8114940495214794e-07
ATCG01080-ATMG00510,-0.562722,,,0.0,,2.9180101703502297e-08
ATCG01080-ATMG00600,0.49086,,,0.00565561188276981,,3.25629061873086e-06
ATCG01080-ATMG00630,2.209993,,,0.00972892259002512,,2.61778535756068e-05
ATCG01090-ATMG00640,0.24486999999999998,,,0.00202613418162816,,5.74744053811162e-06
ATCG01090-ATMG00650,2.063884,,,0.00775040062454927,,0.00010017335207368
ATCG01090-ATMG00660,6.659466,,,0.0138540529417185,,0.000928627081236777
ATCG01090-ATMG00670,2.821048,,,0.00532601331683047,,2.0109390911920106e-05
ATCG01090-ATMG00680,-0.405302,,,0.0,,1.2073200893763099e-09
ATCG01090-ATMG00690,7.725142,,,0.0146067946101534,,0.000727166922593908
ATCG01090-ATMG00710,-0.79974,,,0.00032989134979362404,,7.45648300699003e-09
ATCG01090-ATMG00720,-0.066325,,,0.0,,6.46324290313312e-08
ATCG01090-ATMG00740,-0.466424,,,0.0,,1.48918676546811e-11
ATCG01090-ATMG00870,-0.814221,,,0.0,,3.32136029768023e-09
ATCG01090-ATMG00510,-0.5561619999999999,,,0.0,,1.7464840819453302e-09
ATCG01090-ATMG00600,-0.9593790000000001,,,0.0,,8.314753060067611e-12
ATCG01090-ATMG00630,1.471771,,,0.0,,2.29111424058425e-12
ATCG01100-ATMG00640,-0.966464,,,0.0,,1.5973291837054998e-07
ATCG01100-ATMG00650,1.295077,,,0.00538462706612204,,2.0997477474794395e-05
ATCG01100-ATMG00660,3.557043,,,0.005669806339225821,,0.000103249849033889
ATCG01100-ATMG00670,1.324589,,,0.0009160451696925481,,1.37267099164538e-06
ATCG01100-ATMG00680,-0.813447,,,0.0,,3.28518968086773e-15
ATCG01100-ATMG00690,6.037058,,,0.0107805228507146,,0.000180496850071189
ATCG01100-ATMG00710,-1.3513629999999999,,,0.0,,3.754586852706151e-10
ATCG01100-ATMG00720,-0.10820899999999999,,,0.00554875016519167,,1.38835823557626e-06
ATCG01100-ATMG00740,-0.332369,,,0.0,,2.7976164707262604e-13
ATCG01100-ATMG00870,-0.16702,,,0.0,,1.29127512352528e-09
