edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56650-AT4G14090,18.14333,0.3123970829281155,3384.1858,0.0385712251251839,,0.0113296053592247
AT5G23010-AT5G61420,9.497717999999999,,837.97565,0.04536751675833098,,0.0147232367582982
AT5G18830-AT5G59030,3.964725,,,0.0260725333602689,,0.00183519319098453
AT5G12870-AT5G62380,3.7076089999999997,,,0.000407336658821895,,7.0733076574932905e-09
AT5G07700-AT5G23010,4.350526,,,0.0189613019469438,,0.000128430977905941
AT5G07690-AT5G61420,3.2740709999999997,,,0.0160279143992964,,0.00114695938956794
AT5G07690-AT5G23010,3.818721,,,0.0274495249347244,,0.0015624781377663
AT5G05410-AT5G59720,9.463949000000001,,522.3061,0.0118003199157111,,0.000221466747622126
AT3G56400-AT3G57260,5.953615,,,0.0248162439042703,,0.00403133496013163
AT3G54340-AT5G20240,0.9504440000000001,,161.84235,0.00411805115753869,,4.86449432781772e-07
AT3G50970-AT5G05410,8.274179,,678.0155599999998,0.043506266772575,0.110392,0.0032815199053827892
AT4G37750-AT5G60690,7.1650199999999975,0.25168619883188864,,0.0512449475731809,,0.00322296630007063
AT4G34000-AT5G52300,11.030108,0.2050014856926997,774.8984,0.0311878450061165,,0.00163217478326061
AT4G34160-AT4G37750,9.971223,0.3230750549399871,577.544,0.0614757070920986,0.21613400000000002,0.0105912794369436
AT4G32880-AT4G37650,6.352728,,,0.0195261602897587,,0.00081907234107257
AT4G25480-AT5G52310,9.440168,,1634.7732,0.0599342269657184,,0.0118972578289497
AT4G25490-AT5G52310,6.956503,,1042.4568,0.0406426029671966,,0.000967412190414005
AT4G25470-AT4G25480,17.839610999999994,0.25899315800559525,5107.3975,0.16364562876897798,0.22271799999999997,0.0122847615544699
AT4G25470-AT4G25490,28.469334000000003,0.2777879483060287,6381.66,0.0407707030646925,0.203872,0.010478029246897
AT4G13770-AT5G61420,15.03878,0.4362067393254833,5706.6553,0.268552205508362,0.359205,0.0748474490292069
AT4G13770-AT5G07690,6.6385179999999995,,,0.0388096772593234,,0.007909614929493129
AT4G09820-AT5G42800,12.208646,,605.7169,0.0204020187240774,0.041672900000000006,0.00018283273015053402
AT4G03060-AT5G61420,2.5561540000000003,,197.09698,0.0200089686141307,,3.31730788618404e-05
AT1G18570-AT4G39950,2.390782,,,0.0278543572300873,,0.0015221173734758196
AT1G18570-AT4G31500,2.403212,,,0.0303470578691145,,0.000835109488779503
AT1G19850-AT4G32880,4.063102,,,0.0223402086938408,,0.000178220006015029
AT2G33380-AT4G27410,12.517182,,355.63345,0.0503950992309646,,0.0114106981329882
AT1G12610-AT5G17490,3.34361,,,0.00148293051670339,,3.94540975737768e-06
AT1G51680-AT4G38620,4.733693,,,0.00148144229377903,,1.73362147671651e-08
AT3G12580-AT5G05410,5.079265,,,0.0277879550517615,,0.00374642069995035
AT3G12580-AT4G25480,3.23718,,,0.0258910527678611,,0.000836430697696082
AT1G69490-AT3G47340,2.973058,,,0.0163502498266008,,0.00105806701839136
AT3G28510-AT5G60890,4.586543,,,0.0165917455123379,,0.000711845809002834
AT3G22170-AT4G15090,8.249767,,309.1551,0.0556078468557827,0.20824600000000001,0.0263521398698388
AT3G30775-AT3G54620,2.918325,,,0.0442689338953224,,0.0036576642099922
AT1G01380-AT3G27920,3.6614050000000002,,,0.00429770830435155,,8.435235302178591e-07
AT3G22840-AT5G11260,6.693478999999999,0.2060011773013417,273.93826,0.021854922072179,,0.000610507672806365
AT3G17609-AT3G22840,7.368685,,564.62726,0.0418145174935423,,0.000772823777984088
AT3G15500-AT5G51070,2.2560279999999997,,,0.0310861862837138,,0.000830954886023408
AT3G06490-AT5G40350,4.8284650000000005,,,0.00106321949084281,,1.3939431271843001e-06
AT3G06490-AT3G27810,5.808719,,,0.00417347093639169,,6.85332617052984e-06
AT3G06490-AT3G27810,5.808719,,,0.00417347093639169,,5.1801296419792e-08
AT3G06490-AT3G27810,5.808719,,,0.0,,6.85332617052984e-06
AT3G06490-AT3G27810,5.808719,,,0.0,,5.1801296419792e-08
AT3G04720-AT5G47220,7.210039,,152.07416,0.0331974846356684,,0.0007716787480494702
AT3G11410-AT5G67300,12.258574000000001,0.2379856413634749,454.44574000000006,0.100785475121737,0.158289,0.0067162868739658295
AT3G11410-AT4G34000,10.26919,,,0.0372961978784652,,0.004179895453221271
AT3G07650-AT5G15840,4.560642,,194.14378,0.00863076055513862,,2.84789046422454e-05
AT1G69120-AT3G54340,5.467321,,,0.00218409142985568,,2.6762550725071103e-07
AT1G02340-AT4G16780,12.516206,0.17792149225949405,2227.8782,0.0546368702283892,0.10793499999999999,0.00142252619226179
AT1G20450-AT4G25480,5.2053660000000015,,,0.0249602231794866,,0.0020911984295196
AT1G20440-AT4G25480,3.220485,,,0.0168088098207291,,0.000663460151917798
AT1G20440-AT4G25490,6.45571,,163.58053999999996,0.0297529000452863,,0.000855931158375038
AT1G64280-AT4G31800,6.874928,,,0.055707071866154007,,0.029069041204073998
AT1G75040-AT3G56400,7.241703999999999,,272.47382000000005,0.0351704520685162,,0.0134011911480101
AT1G75040-AT4G31800,4.1516160000000015,,,0.0339014304166797,,0.0035553333076627103
AT1G79840-AT5G40330,7.190914,0.1678353995202735,887.05505,0.0189786314580721,,0.000123659398824663
AT1G52890-AT5G51070,3.739087,,,0.0500884500294411,,0.0027722115568471397
AT2G43360-AT3G54320,1.8082150000000001,,,0.0110386810280857,0.04994559999999999,2.68220484333656e-05
AT2G43360-AT3G54320,1.8082150000000001,,,0.0110386810280857,0.04994559999999999,0.000270682957193763
AT2G43360-AT3G54320,1.8082150000000001,,,0.0248672740465021,0.04994559999999999,2.68220484333656e-05
AT2G43360-AT3G54320,1.8082150000000001,,,0.0248672740465021,0.04994559999999999,0.000270682957193763
AT2G43360-AT3G54320,3.813994,,,0.0110386810280857,0.04994559999999999,2.68220484333656e-05
AT2G43360-AT3G54320,3.813994,,,0.0110386810280857,0.04994559999999999,0.000270682957193763
AT2G43360-AT3G54320,3.813994,,,0.0248672740465021,0.04994559999999999,2.68220484333656e-05
AT2G43360-AT3G54320,3.813994,,,0.0248672740465021,0.04994559999999999,0.000270682957193763
AT1G62380-AT3G20770,4.520905,,,0.0265717640458225,,0.00113699842616044
AT1G06160-AT5G47220,12.483518,0.20269499055181586,3041.5955,0.0780426471434476,0.135384,0.0034735658201025
AT1G06160-AT5G44420,21.420513,0.2424010161075099,8146.821,0.0508804699819982,0.15590299999999999,0.0077799850876456
AT1G06160-AT3G12500,7.436228999999999,,410.41412,0.0244261984986527,,0.000672466547759218
AT1G62990-AT5G12870,3.165664,,,0.00254827097889584,,1.4265906240580498e-07
AT1G01060-AT5G61380,11.093671,,,0.0262210029930614,,0.00753676208235695
AT1G01060-AT1G32900,12.352314999999999,,606.8842,0.0473923820225776,0.164175,0.0177523241881294
AT1G01120-AT3G28910,3.770418,,,0.0184014267645706,,8.672614458991679e-05
AT1G32640-AT5G47220,4.265089,,,0.0120147486679678,,6.63182768731939e-05
AT1G32640-AT3G45140,6.630922999999999,,,0.0160790852802508,,0.0006251069502649111
AT1G32640-AT3G15210,4.414772,,,0.0221612741551442,,0.000152098818205107
AT1G32640-AT3G16470,5.430257,,,0.0178487190397867,,0.000712743630715992
AT1G32640-AT1G72260,4.001819,,,0.0062642122774881,,2.98931548950132e-05
AT1G23380-AT1G62360,3.98235,,,0.0022067164948442602,,4.20093211329023e-06
AT2G22300-AT3G48090,5.841107,,,0.049656798072915,,0.0167453960211391
AT2G42530-AT4G25480,9.194608,,1389.9996,0.0527074346216139,0.184665,0.0116113988074907
AT2G42540-AT4G25480,7.718672,,366.04156,0.0462021613627541,,0.00622083088927153
AT2G42540-AT4G25490,5.35314,,,0.0290003929601872,,0.000422675634923656
AT1G26870-AT1G79580,5.590722,,,0.0009496900377180481,,1.46581566308541e-08
AT2G20610-AT5G61420,2.279409,,,0.0205687146169395,,0.00014078806716413898
