edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56650-AT4G14090,23.622685999999998,0.36144882128268396,16522.88,0.0589422499239139,,0.0226137012669797
AT5G23010-AT5G61420,10.316011999999999,,2741.0562,0.0429785173853111,,0.0158166940687686
AT5G18830-AT5G24380,3.552941000000001,,,0.0162974544996477,,0.000175703047971016
AT5G12870-AT5G62380,4.283791000000001,,,0.0024952389438549103,,7.09196403314612e-07
AT5G07700-AT5G23010,10.050814,,,0.0241921509335889,,0.0011515761155668901
AT5G07690-AT5G61420,5.668679,,,0.0340197909633016,,0.00670371923291459
AT5G07690-AT5G23010,10.649237,,680.7144,0.0414363017054294,,0.0181058283576944
AT5G05410-AT5G59720,7.932405,,393.6175,0.0103070748159968,,0.0004414528978278991
AT5G05410-AT5G52310,3.9109199999999995,,,0.0264852353421015,,0.0007566149599553919
AT5G05410-AT5G52300,3.366999,,,0.0154011925266632,,7.540522663149771e-05
AT3G56400-AT3G57260,5.534128,,,0.0176783983052514,,0.005703266969177221
AT3G54340-AT5G20240,8.345605,,546.6486,0.00528045420108771,,2.54836322226448e-06
AT3G54340-AT5G61850,3.320567,,,0.00274887887783726,,2.20708146110602e-07
AT3G50970-AT5G05410,7.555292999999999,,340.78265,0.0406349139643485,,0.00430989022300235
AT4G37750-AT5G60690,5.342381,,,0.029348097181077008,,0.0011685417607727301
AT4G34990-AT5G42800,4.5079410000000015,,,0.0102728442042519,,0.000269366479210903
AT4G34000-AT5G52300,5.277305999999999,,,0.0181298658374139,,0.000261464005291615
AT4G34160-AT4G37750,10.882282,0.3459899170777048,923.437,0.0374610896214649,,0.0126555286760322
AT4G32880-AT4G37650,10.309439,,1504.0024,0.0200657464350314,,0.0010001390719018301
AT4G27410-AT5G51070,5.689161,,,0.0570916531327422,,0.00842299091173087
AT4G25480-AT5G52310,16.311543,,4601.7905,0.0534379758787943,,0.0187770528336313
AT4G25490-AT5G52310,9.542222,,1829.9207,0.031061082491846,,0.00132687069021959
AT4G25470-AT5G52310,6.878603,,,0.0233940331501283,,0.0008355419026528887
AT4G25470-AT4G25480,28.027921999999997,0.353333530816781,17853.186,0.21990234043578602,0.276609,0.0359773760681596
AT4G25470-AT4G25490,41.055508,0.3852413900039451,24296.377,0.19703209033934801,0.277381,0.033165046554753
AT4G13770-AT5G61420,13.178522000000001,0.4391826892919445,5832.166,0.236109222047305,0.30964,0.0598023933067471
AT4G13770-AT5G07690,12.260392999999999,,1278.892,0.056179433739077,,0.0483716204515994
AT4G09820-AT5G42800,33.493469,0.3311795930661536,16860.12,0.0951845471441664,0.17286500000000002,0.0166232144513609
AT4G03060-AT5G61420,6.14816,,4240.582,0.0443802122798169,,0.000760402942093222
AT1G18570-AT4G39950,4.0021260000000005,,,0.0336914365055984,,0.00318730354453322
AT1G18570-AT4G31500,5.6179440000000005,,,0.0455820071041557,,0.00838592723005125
AT2G33380-AT4G27410,13.401057999999999,,2356.4917,0.0612498616953146,,0.0222656530086622
AT1G12610-AT5G17490,3.7155699999999996,,,0.0037219409320361,,2.8084894653871888e-05
AT1G51680-AT4G38620,4.1266620000000005,,,0.009718486179771509,,1.3600533632141901e-05
AT3G12580-AT5G05410,4.667775,,,0.0241831336810727,,0.00154354568947041
AT3G12580-AT4G34000,2.34416,,367.59525,0.01314479526385,,0.00037150313005381496
AT1G69490-AT3G47340,3.6145650000000002,,,0.0209624876244385,,0.000508276013031206
AT1G66200-AT4G36540,2.939141,,,0.0248799780423263,,0.0015607793440854801
AT3G30775-AT3G54620,3.225013,,,0.0313567513944597,,0.00170472202132489
AT1G01380-AT3G27920,3.443604,,,0.00372744177376156,,3.96899511168638e-06
AT3G22840-AT5G11260,8.503741,,,0.0339168342940828,,0.00464579293634636
AT3G17609-AT5G13930,3.8265599999999997,,,0.0199010570196209,,0.00114134260143182
AT3G17609-AT3G22840,9.439355,,,0.0462665560973142,,0.0152182140283475
AT3G15500-AT5G51070,4.472299,,,0.0443343450384871,,0.00368646355187139
AT3G06490-AT3G27810,4.414687000000002,,462.48148,0.0065586802593909,,7.644735648607989e-06
AT3G06490-AT3G27810,4.414687000000002,,462.48148,0.0065586802593909,,4.6000538871338605e-08
AT3G06490-AT3G27810,4.414687000000002,,462.48148,0.0011835264277893199,,7.644735648607989e-06
AT3G06490-AT3G27810,4.414687000000002,,462.48148,0.0011835264277893199,,4.6000538871338605e-08
AT3G06490-AT3G27810,0.9518700000000001,,462.48148,0.0065586802593909,,7.644735648607989e-06
AT3G06490-AT3G27810,0.9518700000000001,,462.48148,0.0065586802593909,,4.6000538871338605e-08
AT3G06490-AT3G27810,0.9518700000000001,,462.48148,0.0011835264277893199,,7.644735648607989e-06
AT3G06490-AT3G27810,0.9518700000000001,,462.48148,0.0011835264277893199,,4.6000538871338605e-08
AT3G04720-AT5G47220,3.942103,,,0.0226324844474249,,0.00138686327165318
AT3G11410-AT5G67300,7.997456,,1317.7745,0.0646287025897915,,0.0036916959456399796
AT3G11410-AT4G34000,11.924548,,755.86584,0.0538962019560514,,0.0161183141802791
AT3G07650-AT5G15840,9.849611999999999,,758.29407,0.017986661590796,,0.000625067598402373
AT1G13260-AT4G25470,9.582603,0.2389866793102559,885.1339,0.0215557860414696,,0.00113831620641928
AT1G69120-AT5G20240,11.405612,0.12665102337846104,734.0171,0.00797474069255936,,9.982428150564571e-06
AT1G69120-AT5G61850,3.482278,,,0.00233516380146034,,3.39174793736346e-07
AT1G69120-AT3G54340,18.292576,,1617.3945,0.00999940032767078,0.0341412,1.3283858532468e-05
AT1G02340-AT4G16780,16.048422,0.2175579480850444,7340.776,0.027657032885808997,0.09690610000000001,0.000997678501175612
AT1G01470-AT5G05410,6.485369,,,0.0318535422573524,,0.00298351236181605
AT1G20450-AT4G25480,12.137248,,1261.7706,0.039879224282895,,0.008665556594466571
AT1G12370-AT5G11260,6.030526,,,0.0139395566171346,,0.00089674411234037
AT1G12370-AT3G17609,7.054167999999999,,,0.0345864198030579,,0.0020013334049784
AT1G20440-AT4G25480,10.082027,,,0.032543377199931,,0.00562580707426894
AT1G20440-AT4G25490,10.988912,,776.4580000000003,0.0346908297905527,,0.0021191067972117198
AT1G77760-AT5G62430,3.675244,,,0.0141377825379733,,0.000105408979168795
AT1G77760-AT5G57660,4.223172,,,0.009761361628249407,,2.4699372588114602e-05
AT1G64280-AT4G31800,4.7508610000000004,,,0.0312040093716996,,0.0107676380679231
AT1G72770-AT5G67300,2.7410900000000002,,,0.0208532425641756,,0.000455268866089874
AT1G75040-AT3G56400,6.29304,,,0.0217630281983353,,0.0071035148631265295
AT1G75040-AT4G31800,3.4841309999999996,,,0.0267481672546922,,0.0018143104166225398
AT1G76420-AT5G53950,4.244545,,,0.0018507247105991,,4.2359411323158506e-08
AT1G79840-AT5G40330,19.684334,0.19500322517036087,7284.9873,0.0540194564429564,0.0876737,0.00115406660844435
AT1G79840-AT3G27920,8.332846,,,0.00293167040689596,,3.03151599277305e-05
AT1G71930-AT5G17420,5.661335,,701.5377,0.00972638438584628,,6.50348173195959e-05
AT1G52890-AT5G51070,6.9746479999999975,,,0.0730885808064359,,0.0251091056618744
AT1G52890-AT3G45140,1.9862,,,0.0182740103617142,,0.000154711020089989
AT1G63650-AT5G08640,3.351581,,,0.0136389231533238,,0.000217321412622441
AT1G63650-AT5G07100,3.577778,,,0.0103290886059441,,0.000179138117630402
AT1G63650-AT1G79840,6.041003,,,0.00140535755431389,,1.38228270214419e-05
AT1G69180-AT5G20240,7.0336690000000015,0.12216992756812768,296.0637200000001,0.00421837883906195,,1.66357625390653e-06
AT1G62360-AT3G15170,5.07758,,598.8853,0.00151700070436569,,1.78303063723213e-07
AT1G06160-AT5G47220,17.163792,0.2719564684723046,17759.123,0.0765904235299546,0.17236400000000002,0.0128807711229182
AT1G06160-AT5G44420,18.903078,,10281.54,0.0161155984383579,,0.00338234793141857
AT1G06160-AT3G12500,5.221907,,,0.0151769434831002,,0.000313957246119653
AT1G62990-AT5G12870,6.47564,,,0.00144075972604747,,2.5614221832522e-07
AT1G12860-AT5G53210,3.751095,,,0.0196365157256654,,0.00050603091841604
AT1G07640-AT4G31500,3.322443,,,0.01457180155388,,0.000555225540102699
AT1G01060-AT5G61380,12.281341000000001,,2058.4746,0.056127100373422,,0.06446115628372001
AT1G01060-AT1G32900,18.085289000000003,0.6597056740170458,17853.488,0.0987430017548166,0.458187,0.191928474535273
AT1G01120-AT3G28910,2.099831,,,0.0235870196792342,,0.000113862870900294
AT1G32640-AT4G17490,3.4509760000000003,,,0.0160048513168428,,0.000388179449105849
AT1G32640-AT5G47220,8.141458,,346.9504,0.0292121060974697,,0.00442101058766002
AT1G32640-AT3G45140,7.542145,,,0.0302492140342908,,0.00170031120175061
AT1G32640-AT3G15210,9.432411,,433.70914000000016,0.0432159681331982,,0.007563382008798109
AT1G32640-AT3G23240,3.673115,,,0.0108081100348794,,0.000304255694322382
AT1G32640-AT3G16470,9.857367,,,0.0263936296803726,,0.0035498454027649705
AT1G65060-AT4G38620,3.464671,,,0.0154474743478972,,8.273050554485641e-05
AT1G37130-AT3G17609,8.4449,,,0.0395540201207902,,0.0027841600993885
AT1G23420-AT3G23130,4.800049,,,0.00077410242480512,,1.31414295102173e-08
AT1G23380-AT1G62360,6.9432899999999975,,,0.00400645989522193,,5.06884294208975e-06
AT2G22300-AT3G48090,5.567768,,,0.0393684589926523,,0.0105698333315685
