edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,0.41177600000000003,,,0.00466260603117172,,2.32423841626681e-06
ATCG01060-ATMG00650,1.1360059999999998,,,0.00989133991839435,,3.1007744032581507e-06
ATCG01060-ATMG00660,0.020768000000000002,,,0.00438870570712919,,9.189375231599493e-07
ATCG01060-ATMG00670,1.5393540000000001,,,0.00937939873158224,,1.30518366390029e-05
ATCG01060-ATMG00680,-0.656816,,,6.22125876955358e-06,,1.55167819542133e-08
ATCG01060-ATMG00690,0.00398,,,0.0,,1.0941704643949e-06
ATCG01060-ATMG00710,-0.270343,,,0.000686333784322452,,7.0346352845682295e-09
ATCG01060-ATMG00720,-0.32341,,,0.0022146236961939803,,2.89273721440029e-07
ATCG01060-ATMG00740,2.2439150000000003,,,0.0134432212121653,,2.9630306833421998e-05
ATCG01060-ATMG00870,-0.63625,,,0.00139317897877478,,5.81077361492797e-08
ATCG01060-ATMG00510,-0.10301700000000001,,,0.003467268753338089,,1.03805225315285e-06
ATCG01060-ATMG00600,0.728446,,,0.007735969639782241,,7.9132303633003e-06
ATCG01060-ATMG00630,2.0744569999999998,,,0.0128849251815762,,6.567178955571129e-05
ATCG01070-ATMG00640,0.710966,,,0.00788078264493298,,4.21205805890655e-06
ATCG01070-ATMG00650,1.707655,,,0.0131583344751288,,1.56094497371821e-05
ATCG01070-ATMG00660,1.3281209999999999,,,0.0090660648351131,,7.368092257148129e-06
ATCG01070-ATMG00670,1.713672,,,0.0103921303902857,,1.91171566246629e-05
ATCG01070-ATMG00680,0.307541,,,0.0013669163669640901,,3.37361178238593e-08
ATCG01070-ATMG00690,-0.807081,,,0.0,,2.55932116985873e-07
ATCG01070-ATMG00710,-0.20822600000000002,,,0.0013809790758413801,,3.46444481471994e-08
ATCG01070-ATMG00720,-0.769237,,,0.00077967148350858,,1.99573314669085e-07
ATCG01070-ATMG00740,4.716012999999999,,244.13608,0.022192048349339,,0.00016208650965041202
ATCG01070-ATMG00870,-0.295885,,,0.00260934817196329,,4.2050300706712e-07
ATCG01070-ATMG00510,-0.348015,,,0.00161866241304061,,2.6820029356077105e-07
ATCG01070-ATMG00600,1.490074,,,0.0107925958022459,,1.4786030641288901e-05
ATCG01070-ATMG00630,4.572736,,,0.0197044966101326,,0.000254692208498377
ATCG01080-ATMG00640,1.1704629999999998,,,0.00857292822882987,,4.56161160073272e-06
ATCG01080-ATMG00650,2.0811610000000003,,,0.0152133019994164,,2.61816766219398e-05
ATCG01080-ATMG00660,0.75095,,,0.00299814563665026,,1.39202296342089e-06
ATCG01080-ATMG00670,0.47646099999999997,,,0.0051115967326340215,,9.597863243028707e-07
ATCG01080-ATMG00680,-0.033963,,,0.0022624722062687197,,4.77390019927041e-08
ATCG01080-ATMG00690,-0.12476199999999996,,,0.0,,2.5370660676928896e-07
ATCG01080-ATMG00710,-0.332407,,,0.00245233611903921,,1.98565901517485e-07
ATCG01080-ATMG00720,0.20011400000000001,,,0.0075912617586609095,,3.19586072231907e-06
ATCG01080-ATMG00740,5.2345180000000004,,747.98645,0.0225642467193451,0.053060199999999995,0.000176696510984902
ATCG01080-ATMG00870,1.1203100000000001,,401.12228,0.0115667766757952,,8.1313443102819e-06
ATCG01080-ATMG00510,-0.327411,,,0.00323179484480351,,3.2774554018753e-07
ATCG01080-ATMG00600,2.072606,,909.49115,0.0147350273133432,,2.0136901237960103e-05
ATCG01080-ATMG00630,3.9058230000000003,,,0.0206748231953032,,0.000232738694320398
ATCG01090-ATMG00640,0.6330020000000001,,,0.0045060332768358715,,3.92127076493186e-06
ATCG01090-ATMG00650,-0.12921400000000002,,,0.00436935223801452,,1.05963780308784e-06
ATCG01090-ATMG00660,0.8416290000000001,,,0.0,,2.621983243799589e-08
ATCG01090-ATMG00670,1.2238850000000001,,,0.00105050216641334,,5.228249233372819e-07
ATCG01090-ATMG00680,1.859775,,,0.0,,3.446649344166569e-10
ATCG01090-ATMG00690,0.9828889999999999,,,0.00044304891565040194,,1.16400155099534e-06
ATCG01090-ATMG00710,1.011398,,,0.0,,5.83341334968485e-09
ATCG01090-ATMG00720,1.04302,,,0.0,,2.96580336422912e-09
ATCG01090-ATMG00740,0.70409,,,0.00226698013947234,,6.517874294903261e-07
ATCG01090-ATMG00870,1.991672,,,0.00307060513344346,,1.2565275241195499e-06
ATCG01090-ATMG00510,0.876711,,,0.0024847435856249303,,2.50200956722066e-07
ATCG01090-ATMG00600,0.888804,,,0.00498977982155908,,1.64734570943113e-06
ATCG01090-ATMG00630,1.5038559999999999,,,0.00679894271984983,,2.4671764289309505e-05
ATCG01100-ATMG00640,-0.12375699999999999,,,0.0025850469760326,,1.06031259777071e-06
ATCG01100-ATMG00650,0.608831,,,0.00697440794475278,,1.51357330239712e-06
ATCG01100-ATMG00660,-0.062451,,,0.0,,7.526820088587358e-14
ATCG01100-ATMG00670,0.366898,,,9.736209576514079e-05,,4.5326188063303396e-08
ATCG01100-ATMG00680,1.973271,,,0.0,,2.0987351002947602e-11
ATCG01100-ATMG00690,0.391426,,,0.0,,5.7508734799893e-08
ATCG01100-ATMG00710,0.928715,,,0.0,,1.04966372663503e-09
ATCG01100-ATMG00720,0.6843020000000001,,,0.0,,6.57793520457157e-12
ATCG01100-ATMG00740,1.690239,,,0.010790112712312,,9.72633076778928e-06
ATCG01100-ATMG00870,0.361573,,,0.00128141643420362,,1.37290512676156e-07
ATCG01100-ATMG00510,1.270599,,,0.00169826638921155,,2.0319705588678998e-07
ATCG01100-ATMG00600,1.201295,,,0.0061271053789824295,,2.43543919358137e-06
ATCG01100-ATMG00630,0.862218,,,0.007052231025299879,,1.3867231512593899e-05
ATCG01110-ATMG00640,-0.28875,,,0.0,,3.75856965536253e-09
ATCG01110-ATMG00650,0.009351,,,0.0042511849241398895,,7.120090887452248e-07
ATCG01110-ATMG00660,1.2195120000000002,,,0.00195573262623929,,9.3337810000056e-07
ATCG01110-ATMG00670,1.30293,,,0.00902668985531023,,8.29402001667e-06
ATCG01110-ATMG00680,-0.43675299999999995,,,0.0,,2.07364870253739e-09
ATCG01110-ATMG00690,-0.495216,,,0.0,,1.2357565504116399e-12
ATCG01110-ATMG00710,-0.366427,,,0.0,,4.925721767859389e-16
ATCG01110-ATMG00720,-0.317183,,,0.0,,2.74401257962859e-09
ATCG01110-ATMG00740,1.326495,,,0.0113287872363644,,1.69844729277933e-05
ATCG01110-ATMG00870,0.07649600000000001,,,0.00383562698599202,,1.7215193962728e-06
ATCG01110-ATMG00510,0.20894000000000001,,,0.0011732985775116198,,7.75563556812311e-08
ATCG01110-ATMG00600,0.828206,,,0.00626784315443437,,5.09749888116171e-06
ATCG01110-ATMG00630,3.116294,,,0.0135883075327228,,8.83580870546358e-05
ATCG00065-ATMG00640,0.11488599999999999,,,0.0,,7.79533281250929e-08
ATCG00065-ATMG00650,0.22359400000000001,,,0.00535253546590003,,2.71438250571464e-06
ATCG00065-ATMG00660,5.077953,,,0.0129757728892653,,0.000297300230239066
ATCG00065-ATMG00670,2.225779,,,0.00924584440533713,,4.1315466006156e-05
ATCG00065-ATMG00680,-0.887868,,,0.0,,4.42771679707966e-10
ATCG00065-ATMG00690,2.188097,,,0.00377273815401851,,1.20148893888937e-05
ATCG00065-ATMG00710,-0.560991,,,0.000103145113056647,,2.764795938660181e-09
ATCG00065-ATMG00720,-0.720198,,,0.00085560885777531,,1.66297995910711e-07
ATCG00065-ATMG00740,0.055742999999999994,,,0.006059283809845229,,3.6875084777849996e-06
ATCG00065-ATMG00870,-0.424567,,,0.000161580807234543,,1.0736788157380401e-07
ATCG00065-ATMG00510,-0.578527,,,0.0022476783704309397,,2.917635387977069e-07
ATCG00065-ATMG00600,0.043237,,,0.006677038856372611,,5.1031813122779705e-06
ATCG00065-ATMG00630,3.413649,,,0.0092559605901634,,0.000136253889658787
ATCG01020-ATMG00640,0.639704,,,0.00614303316448687,,7.63801251079093e-06
ATCG01020-ATMG00650,0.769055,,,0.0079512065148611,,6.7037814629012e-06
ATCG01020-ATMG00660,2.522094,,,0.00316963065874007,,4.87630949306427e-06
ATCG01020-ATMG00670,0.843017,,,0.0054048067417816,,2.83342761250285e-06
ATCG01020-ATMG00680,0.23099,,,0.00249962809620781,,6.803658226799639e-08
ATCG01020-ATMG00690,2.618764,,,0.0034249937716628602,,1.61045180431077e-05
ATCG01020-ATMG00710,-0.092754,,,0.0,,8.98679564272351e-12
ATCG01020-ATMG00720,-0.684619,,,0.0,,1.7043067673393996e-08
ATCG01020-ATMG00740,0.817565,,,0.00396021458615557,,6.87498422094539e-07
ATCG01020-ATMG00870,-0.18628,,,0.0,,5.30667890161881e-08
ATCG01020-ATMG00510,-0.042098000000000003,,,0.00157823648733172,,1.40591140941914e-07
ATCG01020-ATMG00600,0.36578299999999997,,,0.00386115546698189,,8.630470420553509e-07
ATCG01020-ATMG00630,1.376555,,,0.00920358757722298,,3.13419840031167e-05
ATCG01020-ATMG00050,-0.44778100000000004,,,0.001881363848944,,3.16928471939506e-07
ATCG01020-ATMG00070,1.92691,,,0.00813333806529556,,1.7948017805846202e-05
ATCG01020-ATMG00110,1.521414,,,0.0126714066715551,,3.83719288705279e-05
ATCG01020-ATMG00120,-1.050217,,,0.0007964701658474731,,5.80287881180178e-09
ATCG01020-ATMG00130,-1.1638389999999998,,,0.0,,1.96513672206581e-14
ATCG01020-ATMG00150,-0.049549,,,0.00102764000235437,,5.00429618709903e-07
ATCG01020-ATMG00160,-0.054817,,,0.00151120243429893,,5.68740637752717e-07
ATCG01020-ATMG00260,0.44426499999999997,,,0.00574800789155176,,1.65380710503158e-06
ATCG01020-ATMG00320,-0.486519,,,0.000511719518072589,,9.4199163154593e-09
ATCG01020-ATMG00400,-0.011035,,,0.00494272727120232,,1.1510609210290599e-06
ATCG01020-ATMG00450,-0.41905600000000004,,,0.000803865898274534,,2.6252314468069705e-08
ATCG01040-ATMG00640,0.708231,,,0.00496675928936805,,6.24042051716553e-06
ATCG01040-ATMG00650,1.114293,,,0.0115138241858533,,5.99516182788621e-06
ATCG01040-ATMG00660,1.9477229999999999,,,0.0063680797991075705,,1.04568246875422e-05
ATCG01040-ATMG00670,1.6285120000000002,,,0.0103286584352813,,1.1689051373914999e-05
ATCG01040-ATMG00680,2.430032,,,0.00175422445657525,,3.4791831365328904e-08
ATCG01040-ATMG00690,1.7276040000000001,,,0.00315599951837521,,9.1603416507691e-06
ATCG01040-ATMG00710,1.6017430000000001,,,0.0010959010891459,,3.13669368925401e-09
ATCG01040-ATMG00720,0.82944,,,0.000585232002302261,,6.13449538752164e-08
ATCG01040-ATMG00740,2.149259,,,0.0107662538955919,,1.43914982542496e-05
ATCG01040-ATMG00870,1.149039,,,0.0040734621264995,,1.1305379998904302e-06
ATCG01040-ATMG00510,0.836607,,,0.00253376844008183,,3.55705828721091e-07
ATCG01040-ATMG00600,2.117629,,,0.0125391057095796,,1.0666965753806501e-05
ATCG01040-ATMG00630,2.536264,,,0.0180809881233288,,0.000111440196749385
ATCG01040-ATMG00050,1.249258,,,0.0048199659042052105,,1.12923999055671e-06
ATCG01040-ATMG00070,3.052822,,,0.00951776447363415,,2.0621364030227106e-05
ATCG01040-ATMG00110,3.762655,,,0.0238061050529758,,0.000171390235233822
ATCG01040-ATMG00120,1.376609,,,0.00785850913282052,,2.91881855812844e-06
ATCG01040-ATMG00130,0.523278,,,0.0,,2.31559640019256e-14
ATCG01040-ATMG00150,1.3785479999999999,,,0.0006656370728763517,,1.9265975516110693e-07
ATCG01040-ATMG00160,0.390306,,,0.0,,4.59411860503058e-07
ATCG01040-ATMG00260,2.000379,,,0.00561837252081181,,1.16439427100382e-06
ATCG01040-ATMG00320,-0.18063900000000002,,,0.0,,2.49933634913954e-10
ATCG01040-ATMG00400,1.3315270000000001,,,0.00713108469744115,,2.35749577431643e-06
ATCG01040-ATMG00450,1.507849,,,0.00403969868429575,,4.2722117729245895e-07
ATCG01050-ATMG00640,1.393753,,,0.0106536798994114,,1.43873316986064e-05
ATCG01050-ATMG00650,3.033462,,,0.0189017308665763,,3.03629548685572e-05
ATCG01050-ATMG00660,0.393318,,,0.00365836606109186,,6.79697078869326e-07
ATCG01050-ATMG00670,2.063558,,,0.00842388199829587,,5.400626496204541e-06
ATCG01050-ATMG00680,1.7098490000000002,,,0.0028935622581477602,,2.24565216511657e-07
ATCG01050-ATMG00690,1.731453,,,0.0019268018356175,,7.32754073198148e-06
ATCG01050-ATMG00710,0.163028,,,0.0,,1.58245914072271e-10
ATCG01050-ATMG00720,0.45551800000000003,,,0.00186375098213386,,1.56429332075813e-07
ATCG01050-ATMG00740,1.612948,,,0.0101732460550538,,1.1183442229552e-05
ATCG01050-ATMG00870,0.5174479999999999,,,0.00282345982292471,,1.76989822969872e-07
ATCG01050-ATMG00510,0.9644370000000001,,,0.00492739219916524,,9.873414599577541e-07
