edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56650-AT4G14090,16.931219,,7221.6753,0.0288361662379863,,0.013844799956834998
AT5G23010-AT5G61420,9.560674,,517.96454,0.0452178708753321,,0.0037805612712605696
AT5G11260-AT5G13930,2.0193659999999998,,,0.0146503482467805,,6.87893276601582e-05
AT5G07700-AT5G23010,4.781177,,325.5999,0.00974953204290872,,1.6146139411421698e-05
AT5G07690-AT5G61420,9.617378,,1703.276,0.0522757486456842,,0.00335387854676277
AT5G07690-AT5G23010,13.505819,,1877.9697,0.0297347300008662,,0.0040417475915899
AT5G07100-AT5G60890,2.416428,,,0.0191285860220786,,0.0005102271304821232
AT5G05410-AT5G59720,7.290603999999999,,,0.014096225461696999,,0.000772272375111177
AT5G05410-AT5G52310,5.2535690000000015,,,0.0309993380750216,,0.00116806447397741
AT5G05410-AT5G52300,3.528118,,,0.0188596277090547,,0.000271597030926699
AT3G56400-AT3G57260,5.808943,,,0.0122803608452097,,0.000268092433167777
AT3G50970-AT5G05410,12.547753,0.2359855983545409,1700.1086,0.0769252179174176,0.16886700000000002,0.00959321901516521
AT4G39950-AT5G60890,6.147576,0.22367778255349927,844.0252,0.0425458001291843,,0.00188698296338267
AT4G38620-AT5G13930,3.947226,,,0.0123249595008148,,0.000219901742906037
AT4G37750-AT5G60690,4.332383,,,0.0292205966036823,,0.00138573429294745
AT4G37650-AT5G03150,5.5827599999999995,,,0.0110996721206422,,0.000136201398387
AT4G34000-AT5G52300,10.689482,,1577.2506,0.0321587590855289,,0.0042166552934359
AT4G34160-AT4G37750,11.013739,,785.8494,0.0601666416467673,,0.018898748123234
AT4G32880-AT4G37650,11.296835,,414.28732,0.0178150897690838,,0.00108875693954238
AT4G31500-AT5G60890,2.877361,,,0.023417275673791003,,0.00031058318076186003
AT4G30270-AT5G20240,3.4719860000000002,,,0.0093875724996629,,7.93656589049988e-05
AT4G27410-AT5G51070,3.8713610000000003,,,0.021557420804661002,,0.0008695779393188192
AT4G26080-AT5G67300,4.080246,,,0.0146634168339048,,0.000679351166987442
AT4G25480-AT5G59820,2.494312,,,0.0136739580252735,,2.5751794650171106e-05
AT4G25480-AT5G52310,16.263309,0.1644770745067316,2863.0688,0.045614500681732,0.0920352,0.0023112989049927104
AT4G25490-AT5G59820,5.880498,,,0.0229531655394256,,0.00035133496314048704
AT4G25490-AT5G52310,6.543788,,1224.4094,0.0211623424269539,,0.00039863179052992997
AT4G25470-AT5G59820,8.192188999999999,,214.65846000000002,0.0403624085194217,,0.00243433354616475
AT4G25470-AT4G25480,25.913515,0.18236225999226785,8733.702,0.101240459474957,0.146769,0.00594655929634925
AT4G25470-AT4G25490,38.251518,0.3340399712570597,13112.774,0.14167490129576002,0.231517,0.0277664097371015
AT4G22680-AT5G12870,3.664975,,,0.0014437124621363901,,1.32434519828199e-06
AT4G13770-AT5G61420,14.228428,0.3546192988425696,5888.9165,0.0660523277456898,0.261612,0.0313737773152113
AT4G13770-AT5G07690,12.513581,,2901.9033,0.0282144265159023,,0.0065684489853533
