edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,0.636425,,,0.00252941911524396,,8.24856145044838e-07
ATCG01060-ATMG00650,2.073407,,,0.00630777847851077,,1.90222132103214e-05
ATCG01060-ATMG00660,1.5219999999999998,,,0.00472998713905567,,8.42928042402315e-05
ATCG01060-ATMG00670,1.5148190000000001,,,0.0047614482478304295,,7.359643319959489e-06
ATCG01060-ATMG00680,-1.145985,,,0.0,,9.092267081281171e-11
ATCG01060-ATMG00690,2.099788,,,0.00996507891791914,,8.95775716130148e-05
ATCG01060-ATMG00710,-0.698029,,,0.0,,1.12835564246563e-14
ATCG01060-ATMG00720,-0.472262,,,0.0,,5.33451188648666e-12
ATCG01060-ATMG00740,-0.349502,,,0.00328294735419737,,1.7204695913354098e-07
ATCG01060-ATMG00870,-0.756057,,,0.0,,3.94107510263614e-11
ATCG01060-ATMG00510,-1.186367,,,0.0,,7.0080999933748375e-19
ATCG01060-ATMG00600,-0.504134,,,0.00155490836742456,,8.729799711929041e-09
ATCG01060-ATMG00630,0.934398,,,0.00088959945577144,,1.50346897552532e-07
ATCG01070-ATMG00640,-0.074419,,,0.0,,1.06655380438573e-07
ATCG01070-ATMG00650,0.938852,,,0.00174143389718073,,3.76260945636146e-06
ATCG01070-ATMG00660,1.346366,,,0.00433841949481096,,8.959533794722642e-05
ATCG01070-ATMG00670,0.802303,,,0.002670463751493361,,2.61467414428565e-06
ATCG01070-ATMG00680,-1.0895219999999999,,,0.0,,5.3792834932562e-11
ATCG01070-ATMG00690,-0.197505,,,0.0,,6.612881683521221e-07
ATCG01070-ATMG00710,-0.314882,,,0.0,,6.408881437840491e-14
ATCG01070-ATMG00720,-1.1810049999999999,,,0.0,,4.010612387390299e-15
ATCG01070-ATMG00740,-0.555642,,,0.0024430538559368307,,8.431099864010661e-08
ATCG01070-ATMG00870,-0.857181,,,0.0,,2.98643172011324e-10
