edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,-0.111695,,,0.00820308962745692,,5.73701678341365e-06
ATCG01060-ATMG00650,0.36293600000000004,,,0.0106672215007571,,1.76759944807235e-05
ATCG01060-ATMG00660,-0.07981,,,0.0023730880717342303,,3.91096990294126e-06
ATCG01060-ATMG00670,-0.17616600000000002,,,0.0032677112035848,,3.56872237226271e-06
ATCG01060-ATMG00680,-0.737016,,,0.0,,7.788602126734102e-13
ATCG01060-ATMG00690,0.258761,,,0.0106273621996034,,1.35496654316036e-05
ATCG01060-ATMG00710,-0.72026,,,0.0,,3.18165847977605e-08
ATCG01060-ATMG00720,-1.620953,,,0.0,,2.9878887907944704e-12
ATCG01060-ATMG00740,-1.233532,,,0.00146831720108879,,4.2973829000128e-08
ATCG01060-ATMG00870,-1.0571139999999999,,,0.0,,6.154686727432679e-11
ATCG01060-ATMG00510,-0.270669,,,0.0010345676332002,,1.21942087226872e-07
ATCG01060-ATMG00600,-0.6163029999999999,,,0.000292436755144666,,3.9533706179939e-08
ATCG01060-ATMG00630,-0.831201,,,0.0,,1.1544141930661299e-08
ATCG01070-ATMG00640,0.033932,,,0.00414228724965077,,9.698669126848628e-07
ATCG01070-ATMG00650,0.877508,,,0.0127856221327659,,1.5758545060393e-05
ATCG01070-ATMG00660,0.508234,,,0.0032911664349396397,,4.60057289673262e-06
ATCG01070-ATMG00670,0.088903,,,0.0021080501835985,,2.0279111749093498e-06
ATCG01070-ATMG00680,-0.186801,,,0.0,,1.44255198869147e-17
ATCG01070-ATMG00690,0.061537,,,0.0,,5.1662999582545e-07
ATCG01070-ATMG00710,-0.043646,,,0.0,,3.32395156750081e-10
ATCG01070-ATMG00720,-0.877712,,,0.0,,9.081203535479299e-10
ATCG01070-ATMG00740,-0.402885,,,0.00223043639829485,,1.30855549288694e-07
ATCG01070-ATMG00870,-0.287975,,,0.0,,3.03076357343142e-08
ATCG01070-ATMG00510,-0.520796,,,0.0,,3.75854682634848e-09
ATCG01070-ATMG00600,0.104899,,,0.00119558953584508,,1.2280554430393e-07
ATCG01070-ATMG00630,-0.468708,,,0.0,,4.833801749942199e-13
ATCG01080-ATMG00640,-0.246044,,,0.00383675231417368,,4.3194591210687506e-07
ATCG01080-ATMG00650,0.7699520000000001,,,0.0110932228782099,,7.787565573597631e-06
ATCG01080-ATMG00660,-0.697328,,,0.0,,3.2240084030810693e-09
ATCG01080-ATMG00670,-0.726828,,,0.0,,3.5296835834985496e-09
ATCG01080-ATMG00680,-1.195563,,,0.0,,1.97645491443117e-10
ATCG01080-ATMG00690,0.12928599999999998,,,0.00109271064655982,,1.38431427329223e-06
ATCG01080-ATMG00710,-0.14819000000000002,,,0.0,,2.2967067813441e-09
