edge,clr,aracne,grnboost,mrnet,tinge,wgcna
AT1G56650-AT4G14090,16.70525,,1435.1721,0.0333293500349961,,0.00965265442730177
AT5G23010-AT5G61420,6.547889,,,0.0189114040676994,,0.000161834725388026
AT5G12870-AT5G62380,5.261941,,,0.00320809782887815,,1.43321616926566e-06
AT5G11260-AT5G13930,9.599738,,,0.0154754951348069,,0.00245365040199653
AT5G07700-AT5G23010,4.390435,,,0.00670789463313519,,1.896636972605389e-07
AT5G07690-AT5G61420,7.122539,0.2706900849645386,,0.0248569264376328,,0.0009032436096708961
AT5G07690-AT5G23010,7.264597,,,0.020160781019043,,2.46118409489031e-05
AT5G06960-AT5G44420,0.53632,,98.1038,0.0051279369777969,,2.62880564244881e-06
AT5G07100-AT5G60890,2.472782,,,0.0135904486527983,,0.000267107912382765
AT5G05410-AT5G59720,4.943814,,,0.0065283896459655604,,8.780704114676841e-05
AT5G05410-AT5G52310,4.787786,,,0.0212848557497404,,0.0005917135796548323
AT3G57390-AT5G13790,3.755171,,,0.00752217238643122,,1.4002309058621099e-06
AT3G56400-AT3G57260,3.3531760000000004,,,0.0105072999733513,,0.00022152905286654902
AT3G54340-AT5G20240,2.213763,,140.24991,0.00805190969418026,,7.97646767326888e-06
AT3G50970-AT5G05410,9.098071000000001,0.3183628570334187,323.2794,0.0447199759632113,,0.006255265513573779
AT4G38620-AT5G13930,3.358195,,,0.0167182622040152,,6.887328733847429e-05
AT4G37750-AT5G60690,7.88075,,255.52037,0.0388641625829015,0.136022,0.00314359682104132
AT4G34000-AT5G52300,11.003488,,262.0067,0.03676040366791001,,0.00493216087952628
AT4G34160-AT4G37750,6.235146,,259.2041,0.0481377098138017,0.1764,0.0045918485940814715
AT4G32880-AT4G37650,7.401607,,134.83453,0.0209118284351312,,0.000385774569733537
AT4G31550-AT5G42650,2.9954970000000003,,,0.0137990303920379,,0.000267344992344312
AT4G27410-AT5G51070,6.249105,,,0.0621611721342777,,0.012427568572517
AT4G26080-AT5G67300,4.016425,,,0.021225221258044998,,0.000816602310296048
AT4G25480-AT5G52310,16.322157,,1172.7438,0.0520015847407137,,0.0150894860466142
AT4G25490-AT5G59820,2.6206840000000002,,,0.01483747126037,,7.5355002112158e-05
AT4G25490-AT5G52310,8.663589,,291.5609,0.0361690784689661,,0.00187609048821713
AT4G25470-AT5G59820,3.9500040000000003,,,0.0226890521422238,,0.000284776768715512
AT4G25470-AT5G52310,10.801211,,134.49228,0.0331039156173726,,0.0036070151688678397
AT4G25470-AT4G25480,30.924716999999998,0.34448453158934056,4357.7170000000015,0.154024489660286,0.242419,0.0415272353433736
AT4G25470-AT4G25490,28.402278999999997,0.3071778064597622,4253.248,0.12862194630266802,0.203206,0.0176115694672336
AT4G18960-AT4G27330,3.456814,,,0.00698096680322261,,2.13115164343902e-06
AT4G13770-AT5G61420,12.22487,0.31803686018743904,533.7961,0.0364423414124275,0.179534,0.0036103209821289
AT4G13770-AT5G07690,8.029544999999999,,124.49413,0.020059240991536997,,0.0009514842326989213
AT4G09820-AT5G67420,4.5594220000000005,,,0.0043534451161100106,,3.8372157267036895e-05
AT4G09820-AT5G42800,22.871038000000002,0.20253651566590386,2223.5386,0.0223333815487703,0.11226300000000004,0.00556034394377289
AT4G05100-AT4G28110,3.677251,,,0.00558753798227576,,6.02722268009397e-06
AT4G03060-AT5G61420,6.622391,,199.78204,0.0293928525313341,,0.00104293057221779
AT1G18570-AT4G31500,2.660066,,,0.0145949755161298,,0.000101672934815378
AT1G19850-AT4G32880,3.693083,,,0.00964158657973868,,4.37620215631359e-05
AT2G33380-AT4G27410,11.766318,,292.22827,0.0457664065636886,,0.0160928925326536
AT1G19220-AT5G20730,1.899332,,,0.0152303435171405,,5.0648972671778496e-05
AT1G19220-AT3G58190,3.444869,,,0.00152143939649796,,3.53485845763142e-07
AT1G58290-AT5G11260,4.4292489999999995,,,0.0052251933121928796,,0.0001310861697631
AT1G51680-AT4G38620,3.61176,,,0.00725061435684642,,2.20582152578327e-05
AT3G12580-AT5G05410,3.1777490000000004,,,0.0220818535338793,,0.0005820502772325403
AT1G69490-AT3G47340,6.0012870000000005,,,0.0219463086538235,,0.00416996407267513
AT3G28510-AT5G60890,3.782764,,,0.0098061416734632,,0.000139343513775132
AT3G24650-AT4G16160,3.9900949999999997,,,0.0048848321635097,,1.29435066430611e-06
AT3G15210-AT5G57050,2.9932630000000002,,,0.0171801121069093,,0.00023385473057147203
AT3G30775-AT3G54620,4.189171,,,0.0275281415064205,,0.00305285650981261
AT3G22840-AT5G11260,19.101795000000006,0.32446402798535057,1106.7424,0.034107353565270004,,0.0162942830702092
AT3G17609-AT5G13930,7.3966330000000005,,,0.0117794699543123,,0.00135240254536102
AT3G17609-AT3G22840,16.90604,0.35200390896123074,1839.0117,0.0596631106400958,0.206219,0.0237447529160353
AT3G15500-AT5G51070,6.080686,,,0.0450404400485627,,0.00339574489738937
AT3G06490-AT5G40350,3.998962,,,0.00070029132644066,,8.85430012090615e-08
AT3G04720-AT5G47220,8.116924000000001,0.26187382682286564,,0.0375428526177711,,0.00378518990939196
AT3G11410-AT5G67300,4.680665,,,0.0341665816199796,,0.00133551354001349
AT3G11410-AT4G34000,17.161825,,229.82039,0.0514428204421629,0.223793,0.0412286893514108
AT3G11410-AT4G25480,4.903043,,,0.0236495377728287,,0.000303894426828219
AT3G07650-AT5G15840,12.759578999999999,0.14981535422917272,614.6515,0.0152032994651215,0.05486030000000002,0.00038755628889922903
AT1G13260-AT4G25470,7.012917999999999,,,0.0241394678524225,,0.00125782112645628
AT1G69120-AT5G20240,5.927215,,,0.00469333207414046,,2.4046916240637e-07
AT1G69120-AT5G61850,4.880288,,,0.00525445296166024,,3.839246871547271e-06
AT1G69120-AT5G60910,4.437818,,98.946754,0.00837231552094202,,4.63247494988052e-06
AT1G69120-AT5G03840,5.056526,,,0.002454327885717161,,1.43770361059998e-07
AT1G69120-AT3G54340,7.390147,,,0.006480759719458271,,7.2879736974059415e-06
AT1G02340-AT4G16780,14.606523000000001,0.17298275123516876,2172.8743,0.0748532068070276,0.11301900000000001,0.00166240922353408
AT1G01470-AT5G05410,7.080844,,,0.0275245409824824,,0.00391292849040439
AT1G20450-AT4G25480,15.055212,,190.00185,0.0395462440234254,,0.0117574813111887
AT1G12370-AT5G11260,6.683619,,,0.0151245070033929,,0.00011387607614316699
AT1G12370-AT3G17609,8.245597,,297.00342,0.0318424272803101,,0.0009393358046703553
AT1G20440-AT4G25480,10.182667,,150.17463999999995,0.0367901868240786,,0.00514318583863752
AT1G20440-AT4G25490,7.3886660000000015,,1049.3693,0.0365537932701653,,0.00135577852815157
AT1G64280-AT4G31800,8.059747,,,0.0483197485542257,,0.0269320836184797
AT1G75040-AT3G56400,3.796271,,,0.0146130223868837,,0.000524391094415767
AT1G75040-AT4G31800,4.10232,,,0.024232343442831,,0.000909060517854626
AT1G76420-AT5G53950,6.0440059999999995,,,0.004476004349264971,,1.3844142863490299e-06
AT1G79840-AT5G40330,7.42235,,308.54095,0.0252932801114003,,1.974781212970089e-05
AT1G71930-AT5G17420,6.007358,0.1725506551111218,321.0481,0.0482281541506336,0.0819193,0.00053960708235406
AT1G71930-AT5G12870,9.209334,,,0.0049845464072859795,,1.55366069954e-05
AT1G52890-AT5G52300,3.543738,,,0.0180878830740586,,0.00033196055345565296
AT1G52890-AT5G51070,6.9846850000000025,,,0.0680943915499395,,0.0103334601940469
AT1G69180-AT5G20240,6.2518080000000005,,,0.0059487115989644394,,9.68570648136929e-06
AT1G69180-AT3G24650,3.612715,,,0.0,,7.928868457261608e-09
AT1G06160-AT5G47220,19.946568,0.2663822240178903,3436.0857,0.0648578723483421,0.17471199999999998,0.0117021011137418
AT1G06160-AT5G44420,17.13084,,646.9549,0.0235046337071031,,0.00200995147151347
AT1G06160-AT3G12500,7.009753,,149.31769,0.0216497462444736,,0.000604950917245324
AT1G21970-AT3G27785,6.3955470000000005,,,0.00326859602692838,,1.50222877268057e-06
AT1G21970-AT3G27785,6.3955470000000005,,,0.00326859602692838,,4.98230256859865e-11
AT1G21970-AT3G27785,6.3955470000000005,,,0.0,,1.50222877268057e-06
AT1G21970-AT3G27785,6.3955470000000005,,,0.0,,4.98230256859865e-11
AT1G62990-AT5G12870,7.384436999999999,,,0.0109504919120372,,0.00011997484018706399
AT1G07640-AT5G23010,3.8371120000000003,,,0.0,,4.22707158563119e-13
AT1G07640-AT4G31500,6.322042,,,0.00879371565936808,,1.35730689374746e-05
AT1G14350-AT4G34160,3.053993,,,0.0153115696714312,,8.96896155108292e-05
AT1G01060-AT5G61380,11.465939,,209.30066000000002,0.0240777979941025,,0.0108191992431451
AT1G01060-AT1G32900,16.483017,0.3434184934477169,1578.6844,0.0367123755482549,,0.0248128828943649
AT1G32770-AT5G12870,10.547753,,103.06466999999999,0.000374472731499779,,1.01930140336103e-06
AT1G32770-AT1G62990,1.289141,,131.73438000000002,0.00580678178653327,,1.2208107852615499e-06
AT1G32640-AT4G17490,4.5088870000000005,,,0.0165575183035307,,0.00028804310298295
AT1G32640-AT5G47220,7.49565,,114.8097,0.0287679199085731,,0.00116916489601453
AT1G32640-AT3G45140,5.815707,,,0.0257907508850086,,0.000185021749754428
AT1G32640-AT4G25470,2.8725650000000003,,,0.0194105671714936,,6.939923213827829e-05
AT1G32640-AT3G15210,13.410382,0.3209390942535474,250.83118,0.0631192493803992,,0.00799137571404562
AT1G32640-AT3G16470,7.411776,,,0.0273718164298922,,0.000880612652360057
AT1G32640-AT1G72260,3.277632,,,0.00527037961323251,,7.417989478886528e-06
AT1G37130-AT5G11260,3.6803589999999997,,,0.00290925912517427,,4.5223216725063796e-05
AT1G37130-AT3G17609,4.558246,,,0.0211565328775445,,0.00020664341016695702
AT1G52690-AT5G05410,3.809197,,,0.0159272528075037,,0.000542544345171943
AT1G16490-AT4G37970,3.321905,,,0.0,,8.617199860676279e-10
AT1G23380-AT1G62360,8.673888999999999,,,0.008014559606815321,,6.38408074630719e-05
AT1G78600-AT5G11260,4.0530029999999995,,,0.0,,2.009463029640089e-07
AT2G22300-AT3G48090,4.999808,,,0.0285021575100722,,0.00379904998185417
AT2G42530-AT4G25480,21.147354,0.3128152483856568,885.6460599999997,0.03900048276032,0.189094,0.0174821982256119
AT2G42540-AT4G25480,15.886829,,427.2794,0.0335742278428077,,0.0094148726381313
AT2G42540-AT4G25490,7.366642999999999,,,0.0218611768949524,,0.0007543329241957612
AT2G42540-AT4G25470,6.818125,,,0.024609061141360997,,0.000893597230263501
AT1G26870-AT1G79580,3.9202209999999997,,,0.0059008495392750895,,4.55420350165083e-06
AT2G24570-AT4G31550,11.925948,0.25597595173705484,371.53162000000003,0.0542772815837605,0.127676,0.00618187602639778
AT2G36270-AT5G66400,4.244136,,,0.009688137303544021,,4.633044064138421e-05
AT2G42840-AT4G21750,8.682751,,,0.0259960947609379,0.127589,0.00108065736424178
AT2G42830-AT4G09960,2.774025,,105.39031000000001,0.004500330625898379,,7.86856490868481e-07
AT2G22330-AT5G60890,3.7626209999999998,,,0.0134207450425109,,0.000134204690022745
AT1G79180-AT5G48930,4.9705379999999995,,,0.00825678115243156,,1.9050605527785e-05
AT1G79180-AT5G12870,5.547927,,,0.0017318795451639099,,1.38641121864247e-06
AT1G79180-AT4G34050,7.301236,,170.77393999999995,0.0037956564508643694,,1.0446628059125e-05
AT1G79180-AT2G37040,5.449202,,,0.00411165338977129,,2.65043521738623e-06
AT1G10170-AT4G39030,4.448656,,,0.0174663025672337,,0.0043567733583939295
AT1G10170-AT1G74710,2.018723,,,0.00581024012939396,,0.000574004861339815
AT1G09350-AT4G25480,20.452963,0.2994896019885455,1160.6973,0.0444524695587865,0.161805,0.0119108065935439
AT1G09080-AT1G42990,4.674974,,,0.0384576007534863,,0.0039153623053442286
AT1G08560-AT5G11510,11.533517,,959.7802,0.0493850985191073,,0.0333330385727396
AT1G24260-AT3G54340,5.2507459999999995,,,0.00320008162891845,,2.3655013993301397e-06
AT1G24260-AT4G18960,3.536781,,,0.0061903196246829795,,3.39769469774709e-06
AT1G24260-AT4G09960,4.659304,,,0.0048014506266253285,,3.6005826022576006e-06
AT1G24260-AT1G69120,3.8119330000000002,,,0.0017787894848619698,,5.96884124392774e-07
AT1G55580-AT5G53950,3.387625,,,0.000887798758895965,,2.37936221324187e-16
AT2G15620-AT3G51910,3.762288,,,0.007641652158283441,,0.000147757770537113
AT2G20180-AT5G67030,1.123602,,,0.0144723200455248,,7.41832787263048e-05
AT2G20180-AT5G42750,2.6884919999999997,0.17290128411376166,,0.00871919598958203,,9.189659481679513e-06
AT2G20180-AT3G04730,1.438309,,,0.0139715200599535,,3.69921669962327e-05
AT2G14560-AT3G56400,14.0914,0.34957324649355365,1095.1238,0.0465934310320306,0.192825,0.009399397587723141
AT2G37260-AT4G09820,6.8264380000000005,,,0.00403133911290426,,1.7680792604524503e-06
AT2G18660-AT3G56400,10.395014999999999,,1036.1326,0.0394738719885571,,0.0069763681696657
AT2G27050-AT4G27440,2.626575,,,0.0139409061303261,,5.63198509753848e-06
AT2G14610-AT5G22570,7.247207,,,0.0225313257863596,,0.0022314489586932602
AT2G14610-AT5G06960,3.513469,,,0.0182507122068086,,0.000816844987113734
AT2G14610-AT3G56400,4.315357,,,0.014316390251433,,0.000785246261957896
AT2G14610-AT4G31800,3.260033,,,0.0155913810070185,,0.0006265190050777098
AT2G22770-AT3G15950,16.554270000000002,0.2463213474777949,601.69507,0.0275442771154813,,0.00129153350045151
AT2G22770-AT3G09260,13.896087,0.22854454744541594,289.3027,0.0154456562980382,,0.0006644842201817533
AT2G46830-AT5G61380,11.790621,,410.34143,0.0341271147940304,,0.014645314384020001
AT2G46830-AT5G52310,4.163896,,97.53,0.0013005258756949,,0.00013763917384045
AT2G46830-AT5G37260,4.082079,,,0.0,,1.40290809347659e-06
AT2G46830-AT5G18170,1.9863950000000001,,,0.0229207474367744,,0.000199457328524135
AT2G46830-AT5G02810,2.353384,,,0.0168850389903607,,0.000141117112648426
AT2G46830-AT3G59060,5.530354,,,0.0147633716296308,,0.000228240450020756
AT2G26150-AT3G24500,21.158451,0.4472627796902746,7398.359,0.0762596804387498,,0.0494695807271364
AT2G26150-AT2G47180,7.128742,,,0.0269860610512573,,0.0016296958885086
AT2G38470-AT5G60890,2.898526,,,0.0240632852181965,,0.000358248414391014
AT2G38470-AT5G07100,3.469172,,,0.0284202135061459,,0.00255875461070941
AT2G38470-AT3G52430,4.820247,,,0.0414781054624016,,0.0049151752425989894
AT2G38470-AT3G15210,9.274752000000001,,,0.0637655060504105,,0.0210087057379614
AT2G38470-AT3G23240,6.039174,,,0.0349226235669117,,0.00147558657785978
AT2G38470-AT3G26830,4.333146,,,0.0327159081429095,,0.0056836874653701285
AT2G37630-AT4G08150,4.781495,,187.71465,0.0271584529231672,0.057240199999999984,0.000128083144440795
AT2G30250-AT5G62020,2.299868,,,0.0240574029555093,,0.000520186411043588
AT2G30250-AT5G59820,7.8907380000000025,,,0.0704842896146264,,0.0387610969847859
AT2G34710-AT4G37750,2.486334,,,0.0176513013710548,,0.000167385765812627
AT2G40080-AT5G11260,4.900189,,,0.007983752991413991,,2.5301590719261503e-06
