edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,3.178959,,,0.00222675948019989,,8.645600594652119e-06
ATCG01060-ATMG00650,9.615157,,,0.00647259635899181,,0.000256490089567702
ATCG01060-ATMG00660,5.79726,,,0.00258860457820253,,9.72623145671033e-05
ATCG01060-ATMG00670,5.17822,,,0.00247367183990349,,1.88137050441433e-05
ATCG01060-ATMG00680,0.032302,,,0.0006511534832110518,,2.7267422870184397e-08
ATCG01060-ATMG00690,5.689714,,,0.0031288491761865198,,0.000114672243548188
ATCG01060-ATMG00710,2.540788,,,0.0023630066387591107,,6.39957906605682e-07
ATCG01060-ATMG00720,1.807399,,,0.0024068054209977693,,3.76355426867369e-07
ATCG01060-ATMG00740,7.138422,,,0.00418898366989255,,1.1851456289024099e-05
ATCG01060-ATMG00870,3.234004,,,0.00238533356132715,,1.75197408228905e-06
ATCG01060-ATMG00510,1.343403,,,0.000692845661965163,,2.02527430736973e-08
ATCG01060-ATMG00600,2.456774,,,0.00248662833748209,,6.3132516533578e-07
ATCG01060-ATMG00630,8.722694,,,0.00338851526454206,,8.008880353260308e-05
ATCG01070-ATMG00640,5.401968,,,0.005338396925815029,,0.000107716226903952
ATCG01070-ATMG00650,13.149503,,,0.0160868579912159,,0.000978694313966934
ATCG01070-ATMG00660,9.07471,,,0.00602039136238705,,0.000667521459894775
ATCG01070-ATMG00670,6.560889,,,0.004462865845824679,,4.99029096672255e-05
ATCG01070-ATMG00680,-0.255857,,,0.0,,4.1038117230705895e-09
ATCG01070-ATMG00690,6.031261,,,0.0056103554081222105,,0.00014792905717089498
ATCG01070-ATMG00710,2.4841740000000003,,,0.0031304568196468398,,1.13397439220282e-06
ATCG01070-ATMG00720,2.396225,,,0.0036054267092796603,,3.12691084195581e-06
ATCG01070-ATMG00740,7.847531,,,0.008713693854509309,,3.65636623840595e-05
ATCG01070-ATMG00870,5.013871,,,0.0037286873675553,,3.1781633028967203e-06
ATCG01070-ATMG00510,0.72306,,,0.00141791398338233,,2.0177821359827e-07
ATCG01070-ATMG00600,2.17442,,,0.0035729504075916103,,1.42790239105102e-06
ATCG01070-ATMG00630,13.315843,,696.97516,0.0108730923045355,,0.000440928177348201
ATCG01080-ATMG00640,4.237311,,,0.0047757930125534,,5.43802200651383e-05
ATCG01080-ATMG00650,11.796573,,,0.0103754288939667,,0.000409600448682394
ATCG01080-ATMG00660,5.57658,,,0.00295596192661657,,0.000106987459277273
ATCG01080-ATMG00670,4.459291,,,0.0027099511521918303,,5.5234542710141e-06
ATCG01080-ATMG00680,2.359113,,,0.00268232317958923,,1.7674063086386102e-07
ATCG01080-ATMG00690,5.070483,,,0.00378660892390969,,7.630386509688199e-05
ATCG01080-ATMG00710,3.4399620000000004,,,0.00340360914788057,,1.29075108631122e-06
ATCG01080-ATMG00720,3.4607019999999995,,456.30545,0.0052141566906626,,4.99523735639015e-06
ATCG01080-ATMG00740,15.487392000000002,0.12027088706253206,2137.5164,0.0120681915087264,,0.000106100319892012
ATCG01080-ATMG00870,9.790298,,1506.1793,0.00861034381421862,0.0322895,1.30491596905421e-05
ATCG01080-ATMG00510,-0.895034,,,0.0,,8.390478160024453e-12
ATCG01080-ATMG00600,4.351858,,,0.0049135819930281295,,2.16878967243199e-06
ATCG01080-ATMG00630,12.288904,,421.91312,0.007985326738024,,0.000310205392206984
ATCG01090-ATMG00640,2.7218880000000003,,,0.0051929024267923715,,2.92744473235826e-05
ATCG01090-ATMG00650,6.940517,,,0.0100560540881338,,0.00034799187497106
ATCG01090-ATMG00660,8.018408,,,0.00639320621837218,,0.000613060295309188
ATCG01090-ATMG00670,4.655367,,,0.00433722190196047,,2.87723032316536e-05
ATCG01090-ATMG00680,-1.119897,,,0.0,,2.96961157612469e-11
ATCG01090-ATMG00690,6.729371,,,0.0130545903770864,,0.000321271456999156
ATCG01090-ATMG00710,0.39587,,,0.00118115782149594,,2.52783025454994e-08
ATCG01090-ATMG00720,-0.113896,,,0.0027536206896893603,,1.1240355804075599e-07
ATCG01090-ATMG00740,1.0896370000000002,,,0.00229913201179337,,5.669278249531472e-07
ATCG01090-ATMG00870,3.586092,,,0.00364324490473584,,3.38595313060661e-06
ATCG01090-ATMG00510,0.412121,,,0.0015725720571893,,1.8180565601031602e-07
ATCG01090-ATMG00600,-0.181709,,,0.00216933756894117,,9.20115170917723e-08
ATCG01090-ATMG00630,6.304297,,,0.00657793281827731,,7.32393192024772e-05
ATCG01100-ATMG00640,2.811719,,,0.00621983084299765,,4.76268626152692e-05
ATCG01100-ATMG00650,8.601782,,,0.0115034886927004,,0.000608082190026809
ATCG01100-ATMG00660,4.831557,,,0.0056402672239053,,0.000157138623118846
ATCG01100-ATMG00670,2.85318,,,0.003952183756421261,,6.3528532993914595e-06
ATCG01100-ATMG00680,-1.154438,,,0.0,,5.9120264897947e-19
ATCG01100-ATMG00690,6.561433999999998,,,0.0096597136010972,,0.00022594777045849903
ATCG01100-ATMG00710,-0.078983,,,0.00101032569607992,,4.64993154475517e-08
ATCG01100-ATMG00720,-0.399727,,,0.0,,2.4456501850772004e-08
ATCG01100-ATMG00740,1.6210870000000002,,,0.00403124781257726,,1.7206909737683701e-06
ATCG01100-ATMG00870,2.458005,,,0.00292905073910134,,9.608666482588828e-07
ATCG01100-ATMG00510,0.7764939999999999,,,0.000999941794718929,,2.0624467921277696e-07
ATCG01100-ATMG00600,0.463307,,,0.0018944992694664199,,3.732638053701e-08
ATCG01100-ATMG00630,5.836583,,,0.00648059826007225,,4.16154069081185e-05
ATCG01110-ATMG00640,1.497583,,,0.00242498428858817,,3.37082325558855e-06
ATCG01110-ATMG00650,6.5856080000000015,,,0.00469179512633851,,9.975321980509201e-05
ATCG01110-ATMG00660,7.124743,,,0.00336494402800703,,0.0001537662053373
ATCG01110-ATMG00670,7.400252,,,0.00405112542231042,,5.28787649024322e-05
ATCG01110-ATMG00680,-0.295269,,,0.000602543179848217,,5.881579121611391e-09
ATCG01110-ATMG00690,2.829459,,,0.0016312497659171901,,7.0904656534662585e-06
ATCG01110-ATMG00710,1.396232,,,0.0015817235392486804,,1.72118635304751e-07
ATCG01110-ATMG00720,0.094106,,,0.00141060272975461,,1.8352232709147695e-07
ATCG01110-ATMG00740,4.928025,,,0.0028012906748393607,,4.70827282926072e-06
ATCG01110-ATMG00870,4.952662,,375.86197,0.00497479220234592,,1.13694878846715e-05
ATCG01110-ATMG00510,0.814174,,,0.00150010423501105,,1.1524105609287601e-07
