edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,-0.105019,,,0.000559269270726684,,8.38855200097729e-07
ATCG01060-ATMG00650,1.6393,,,0.006429085234401661,,2.2917520786428306e-05
ATCG01060-ATMG00660,5.596706,,,0.00427198151814378,,0.000110023607840247
ATCG01060-ATMG00670,5.913074,,,0.00558976975109777,,4.78347925379556e-05
ATCG01060-ATMG00680,-0.285916,,,0.0,,7.163153190883168e-20
ATCG01060-ATMG00690,-0.522453,,,0.003066893141111,,1.48158406878726e-06
ATCG01060-ATMG00710,-1.476766,,,0.0,,1.6096461200431802e-14
ATCG01060-ATMG00720,-0.704946,,,0.0,,1.74563012858431e-15
ATCG01060-ATMG00740,0.804339,,,0.0038435176825549295,,7.420713414764658e-07
ATCG01060-ATMG00870,-1.17698,,,0.0,,2.0355405414831505e-14
ATCG01060-ATMG00510,-0.13386099999999998,,,0.0,,4.30293115474567e-15
ATCG01060-ATMG00600,-0.357051,,,0.00048212979999353797,,1.7916093989160396e-09
ATCG01060-ATMG00630,1.1634799999999998,,,0.0,,1.1029723945541001e-07
ATCG01070-ATMG00640,-0.663569,,,0.0,,8.49198824006065e-09
ATCG01070-ATMG00650,0.236804,,,0.000315563308240978,,2.4549158516403e-06
ATCG01070-ATMG00660,7.649412,,,0.0049231129278854,,0.000242750178811388
ATCG01070-ATMG00670,5.73666,,,0.00550885755409484,,3.2487661155827896e-05
ATCG01070-ATMG00680,-0.474462,,,0.0,,9.10725287012579e-11
ATCG01070-ATMG00690,-0.4166,,,0.0,,5.18073384360971e-07
ATCG01070-ATMG00710,0.280156,,,0.0,,4.98126828896626e-16
ATCG01070-ATMG00720,-0.708068,,,0.0,,2.43214647400971e-10
ATCG01070-ATMG00740,0.914202,,,0.0030535308473874107,,3.77493803132037e-07
ATCG01070-ATMG00870,-1.508151,,,0.0,,1.66398524554478e-11
ATCG01070-ATMG00510,0.33535,,,0.0,,2.8235992207910704e-14
ATCG01070-ATMG00600,0.255754,,,0.0,,4.8985033799785886e-12
ATCG01070-ATMG00630,0.5171279999999999,,,0.0,,4.92174871761592e-08
ATCG01080-ATMG00640,-0.948581,,,0.0,,6.441802636805202e-13
ATCG01080-ATMG00650,0.082808,,,0.0,,3.486624260137361e-07
ATCG01080-ATMG00660,5.064285,,,0.0033612162682881107,,7.274374489946021e-05
ATCG01080-ATMG00670,5.333637,,,0.00527706508267554,,2.9528508338753997e-05
ATCG01080-ATMG00680,-0.8442209999999999,,,0.0,,1.0666956937013501e-14
ATCG01080-ATMG00690,0.132314,,,0.0,,9.97201894197714e-07
ATCG01080-ATMG00710,-0.527783,,,0.0,,1.8415984859769603e-17
ATCG01080-ATMG00720,-0.540145,,,0.0,,7.02747633138701e-19
ATCG01080-ATMG00740,2.210969,,,0.00437512968754276,,1.85909464357456e-06
ATCG01080-ATMG00870,-0.698799,,,0.0,,7.1327473972965e-10
ATCG01080-ATMG00510,-0.215153,,,0.0,,1.3663175969507e-15
ATCG01080-ATMG00600,-0.756488,,,0.0,,5.38037198387961e-11
ATCG01080-ATMG00630,2.646515,,,0.0,,1.52563996096699e-07
ATCG01090-ATMG00640,0.095219,,,0.0,,3.76952959209792e-08
ATCG01090-ATMG00650,1.130866,,,0.0,,1.0388086134874701e-06
ATCG01090-ATMG00660,6.914721000000001,,,0.00627875797995506,,0.000470629956020788
ATCG01090-ATMG00670,3.672217,,,0.0047829165402154105,,1.6179120580907098e-05
ATCG01090-ATMG00680,-0.752825,,,0.0,,6.38299215176898e-09
ATCG01090-ATMG00690,1.585014,,,0.0,,8.04914666911359e-06
ATCG01090-ATMG00710,-1.108544,,,0.0,,3.1696822586817107e-15
ATCG01090-ATMG00720,-0.911452,,,0.0,,4.772134747388629e-15
ATCG01090-ATMG00740,-0.482837,,,0.0,,1.2060354645582099e-11
ATCG01090-ATMG00870,-0.634953,,,0.0,,1.71055617003242e-16
ATCG01090-ATMG00510,-0.842542,,,0.0,,1.4385170932424097e-12
ATCG01090-ATMG00600,-1.11687,,,0.0,,3.0855503893554304e-13
ATCG01090-ATMG00630,0.544571,,,0.0,,3.13717435257713e-09
ATCG01100-ATMG00640,0.035129,,,0.0,,7.496749014473379e-08
ATCG01100-ATMG00650,2.185698,,,0.0,,9.84630307976795e-06
ATCG01100-ATMG00660,7.996596,,,0.008420603522551409,,0.000638363260807367
ATCG01100-ATMG00670,2.987177,,,0.0058901846518524285,,2.27651191734504e-05
ATCG01100-ATMG00680,-1.370726,,,0.0,,3.41148134714116e-11
ATCG01100-ATMG00690,2.594125,,,0.0,,2.46365028783218e-05
ATCG01100-ATMG00710,-0.168404,,,0.00156841607795471,,7.8929873662928e-10
