edge,clr,aracne,grnboost,mrnet,tinge,wgcna
ATCG01060-ATMG00640,3.712888,,,0.0037231640451999897,,3.48487191150307e-05
ATCG01060-ATMG00650,5.31332,,,0.0076756813115381,,0.00013315914178546102
ATCG01060-ATMG00660,11.346903,,,0.00804198891204139,,0.00234363189650277
ATCG01060-ATMG00670,4.13384,,,0.00540414899459178,,3.55078688582241e-05
ATCG01060-ATMG00680,-0.319445,,,0.0,,4.15523275051548e-12
ATCG01060-ATMG00690,7.927957000000001,,170.31433,0.00682881230159324,,0.000560051541927087
ATCG01060-ATMG00710,0.5673520000000001,,,0.000796833516765885,,6.42641145331968e-08
ATCG01060-ATMG00720,0.969474,,,0.0015176576364585401,,2.94714860590417e-07
ATCG01060-ATMG00740,-0.082478,,,0.000635825094016792,,1.44479097421175e-07
ATCG01060-ATMG00870,2.11166,,,0.00010116001795774499,,1.50948831500226e-07
ATCG01060-ATMG00510,-0.427588,,,0.0,,5.44387788453091e-10
ATCG01060-ATMG00600,0.353193,,,0.0,,3.88404371970883e-11
ATCG01060-ATMG00630,2.086506,,,0.00262046387003995,,3.83257179471199e-06
ATCG01070-ATMG00640,2.374727,,,0.0039938938503564,,2.3630099497553e-05
ATCG01070-ATMG00650,5.1728,,,0.007142126671888141,,0.000144129853351903
ATCG01070-ATMG00660,12.233926,,,0.0108922874748568,,0.0034308566759979602
ATCG01070-ATMG00670,4.954532,,,0.0062217397041437715,,5.38715905813187e-05
ATCG01070-ATMG00680,-1.219999,,,0.0,,2.9029564122524905e-16
ATCG01070-ATMG00690,5.043982,,,0.00391265261476263,,0.000169885731921954
ATCG01070-ATMG00710,0.023789,,,0.00012059591534438601,,2.9261364232021503e-09
ATCG01070-ATMG00720,-0.964715,,,2.53226811692972e-05,,3.1213977765882e-09
ATCG01070-ATMG00740,1.639323,,,0.00280569941349384,,7.551340342187409e-07
ATCG01070-ATMG00870,-0.636843,,,0.0,,1.0754004729132305e-09
ATCG01070-ATMG00510,-0.289329,,,0.0,,1.46573318787359e-11
ATCG01070-ATMG00600,0.472871,,,0.0,,5.31509840438594e-11
ATCG01070-ATMG00630,3.145343,,,0.00330540060217845,,1.02060331218289e-05
ATCG01080-ATMG00640,6.659064,,,0.00660341166654141,,0.000164849516526834
ATCG01080-ATMG00650,7.299392,,,0.0130337667126957,,0.000306100372834944
ATCG01080-ATMG00660,12.325548,,,0.0113959642907894,,0.00325006599781468
ATCG01080-ATMG00670,9.074472,,,0.00901011745996258,,0.000172461448430344
ATCG01080-ATMG00680,-0.9035,,,0.0,,1.04866182150529e-12
ATCG01080-ATMG00690,6.5186720000000005,,,0.005587951520619161,,0.00031559453761878
ATCG01080-ATMG00710,0.6950850000000001,,,0.0022480928556114607,,1.1903727083511601e-07
ATCG01080-ATMG00720,1.115397,,,0.004563846795103729,,1.32308718471919e-06
ATCG01080-ATMG00740,3.599082,,,0.00539733043088631,,3.3062769739653e-06
ATCG01080-ATMG00870,0.75427,,,0.0,,1.8669576811194095e-08
ATCG01080-ATMG00510,-0.391869,,,0.0,,2.30892598730786e-09
ATCG01080-ATMG00600,0.310831,,,0.0012223485173505,,3.41322579924465e-08
ATCG01080-ATMG00630,7.689194,,,0.00630368231275296,,7.15869546557648e-05
ATCG01100-ATMG00640,3.107252,,,0.00696927564631351,,4.057374155611071e-05
ATCG01100-ATMG00650,2.621866,,,0.00491663579708049,,3.17543976012468e-05
ATCG01100-ATMG00660,7.147983999999999,,,0.0050901283556915285,,0.000293798831229802
ATCG01100-ATMG00670,1.381571,,,0.0024023705836216398,,1.08301743433041e-06
ATCG01100-ATMG00680,-0.208013,,,0.0,,2.85203537208695e-10
ATCG01100-ATMG00690,4.307236,,,0.0019555011769019693,,3.643607524192271e-05
ATCG01100-ATMG00710,-0.723544,,,5.90054265424667e-05,,5.8988008781082e-10
ATCG01100-ATMG00720,0.082126,,,0.0,,3.18587190578492e-10
ATCG01100-ATMG00740,-0.831342,,,0.0,,7.21345989268244e-11
ATCG01100-ATMG00870,0.6262479999999999,,,0.0,,3.52119851620733e-09
ATCG01100-ATMG00510,-0.318964,,,0.0,,2.4993456516718105e-09
ATCG01100-ATMG00600,-0.111384,,,0.0,,6.227513926974518e-16
ATCG01100-ATMG00630,1.616648,,,0.00110237494598133,,9.42212910802732e-07
ATCG01110-ATMG00640,1.946688,,,0.00367552329214392,,5.8162151823165e-06
ATCG01110-ATMG00650,3.253743,,,0.00886770055057013,,4.7368727275157596e-05
ATCG01110-ATMG00660,6.265294,,,0.00626720854458036,,0.000107528949322383
ATCG01110-ATMG00670,2.147206,,,0.00498053746609487,,1.73165696739347e-06
ATCG01110-ATMG00680,-0.524671,,,0.0,,6.17747626124032e-09
ATCG01110-ATMG00690,1.464217,,,0.000865835516615046,,1.93937869922485e-06
ATCG01110-ATMG00710,0.118365,,,0.0,,4.68490276292005e-12
ATCG01110-ATMG00720,-0.7685,,,0.000250674165699664,,6.43868143610729e-10
ATCG01110-ATMG00740,-0.419496,,,0.0,,7.7921034088795e-11
ATCG01110-ATMG00870,0.15900999999999998,,,0.0,,5.86816736675337e-10
ATCG01110-ATMG00510,0.702839,,,0.000113501442797453,,6.7148937536961285e-09
ATCG01110-ATMG00600,-0.36056,,,0.0,,1.04799840789987e-13
ATCG01110-ATMG00630,3.5440940000000003,,,0.00460360076396754,,3.85151786862062e-06
ATCG00065-ATMG00640,3.296036,,,0.00248594040074925,,2.14915154723503e-05
ATCG00065-ATMG00650,2.358948,,,0.00218362298169915,,1.17875599974331e-05
ATCG00065-ATMG00660,12.731972,,210.28139,0.0192827669053158,,0.0029315673432641397
ATCG00065-ATMG00670,8.39427,,710.5128,0.007886568832129971,,0.00011356086079733301
ATCG00065-ATMG00680,-1.132363,,,0.0,,1.01533798670059e-11
ATCG00065-ATMG00690,2.0041740000000003,,,0.000963379250882556,,1.02371158119976e-05
ATCG00065-ATMG00710,-0.482222,,,8.819003967242521e-05,,3.26440231793919e-11
ATCG00065-ATMG00720,-0.553361,,,0.000373245633548647,,4.620654883466349e-10
ATCG00065-ATMG00740,1.323137,,,0.00105737737615737,,1.56095319352871e-08
ATCG00065-ATMG00870,-0.747835,,,0.0,,5.9557126048629595e-18
ATCG00065-ATMG00510,-0.620243,,,0.0,,1.44340911262959e-11
ATCG00065-ATMG00600,-1.094975,,,0.0,,5.29534713599959e-14
ATCG00065-ATMG00630,5.534607,,,0.00213815145917043,,5.21791997355598e-06
ATCG01020-ATMG00640,0.243973,,,0.0,,2.2916305255241398e-07
ATCG01020-ATMG00650,2.357647,,,0.00255497975989623,,8.14856422960231e-06
ATCG01020-ATMG00660,8.562647,,,0.008307459700503709,,0.0006087233809698309
ATCG01020-ATMG00670,0.132331,,,0.0009362991133350939,,1.4531572519461697e-07
ATCG01020-ATMG00680,-1.404076,,,0.0,,2.8899297980160803e-13
ATCG01020-ATMG00690,6.294149,,,0.004539186029341689,,0.000163027400878423
ATCG01020-ATMG00710,-0.890051,,,0.00169211812333801,,4.42030664653324e-08
ATCG01020-ATMG00720,-0.7013199999999999,,,0.0022511431074124398,,1.25344785325676e-07
ATCG01020-ATMG00740,-0.580444,,,0.00138218879390584,,1.4754503968199996e-07
ATCG01020-ATMG00870,-0.278409,,,0.00139063305381077,,1.31350577297207e-07
ATCG01020-ATMG00510,-1.019428,,,0.00144271786575818,,5.26541430541413e-08
ATCG01020-ATMG00600,-0.87187,,,0.0,,6.25236075262943e-10
ATCG01020-ATMG00630,1.091456,,,0.0,,2.9487203009928104e-10
ATCG01020-ATMG00050,0.329692,,,0.00495654705795044,,1.44881157970213e-06
ATCG01020-ATMG00070,3.3526480000000003,,,0.00340159311450065,,2.3555451908093202e-05
ATCG01020-ATMG00110,1.541206,,,0.00235565663604268,,8.106574329366229e-06
ATCG01020-ATMG00120,0.357558,,,0.000569470503309658,,2.6956031132683502e-08
ATCG01020-ATMG00130,-1.019666,,,0.0,,2.7648660651928397e-11
ATCG01020-ATMG00150,-1.175225,,,0.0,,6.07606170421276e-11
ATCG01020-ATMG00160,3.308678,,,0.000100471046754917,,4.14477382273637e-06
ATCG01020-ATMG00260,-0.147958,,,0.00173738282182563,,3.0318668487686e-07
ATCG01020-ATMG00320,-0.972383,,,0.000161141688560281,,8.5347239833087e-11
ATCG01020-ATMG00400,-0.998967,,,0.00204594826928485,,1.63118142015651e-08
ATCG01020-ATMG00450,0.398479,,,0.0,,3.85286151497406e-12
ATCG01040-ATMG00640,2.173354,,,0.00111061589441326,,3.9923123662716105e-06
ATCG01040-ATMG00650,2.454638,,,0.004326976255264139,,1.7118621066139002e-05
ATCG01040-ATMG00660,12.746844,,,0.0120235136419299,,0.0032307719279640107
ATCG01040-ATMG00670,3.2493990000000004,,,0.00814536914122011,,1.60006704251642e-05
ATCG01040-ATMG00680,-0.547955,,,0.0,,7.573550405909079e-11
ATCG01040-ATMG00690,8.14959,,,0.0080901734330328,,0.000810415419731388
ATCG01040-ATMG00710,-0.360801,,,0.00157093824438366,,1.00495912427915e-07
ATCG01040-ATMG00720,-0.022355,,,0.00417429247949302,,1.06087293204622e-06
ATCG01040-ATMG00740,1.280177,,,0.00155080447368969,,1.42571952847935e-07
ATCG01040-ATMG00870,0.14823699999999998,,,0.00011441958628533001,,6.55634599590243e-08
ATCG01040-ATMG00510,-1.436815,,,0.0,,2.40464734841706e-10
ATCG01040-ATMG00600,-0.942437,,,0.0,,2.1231595266523999e-10
ATCG01040-ATMG00630,1.407695,,,0.0,,1.6581235768339204e-10
ATCG01040-ATMG00050,0.598125,,,0.0038180413897223,,1.18933223829198e-06
ATCG01040-ATMG00070,5.235474,,,0.00537414604054014,,0.00012310642886640902
ATCG01040-ATMG00110,5.98426,,,0.0104819815206471,,0.00015386671640779299
ATCG01040-ATMG00120,2.352113,,,0.00308226840902497,,7.85310753948064e-07
ATCG01040-ATMG00130,0.4502850000000001,,,0.0009790815450827779,,6.63985644350362e-08
ATCG01040-ATMG00150,-0.361236,,,0.0,,1.01487162574825e-10
ATCG01040-ATMG00160,5.117352,,,0.0027150446311738,,3.3433045440367e-05
ATCG01040-ATMG00260,-0.30832,,,0.000601237174878712,,1.79540036928214e-07
ATCG01040-ATMG00320,-1.462066,,,0.0,,2.89527058790925e-13
ATCG01040-ATMG00400,0.312383,,,0.0024841443382994,,9.530464972161134e-08
ATCG01040-ATMG00450,-0.092619,,,0.000191128589947742,,7.11239166721307e-09
ATCG01050-ATMG00640,2.4721900000000003,,,0.004357320780798361,,1.94580573621738e-05
ATCG01050-ATMG00650,4.996902,,139.66689,0.0114779199446491,,0.000194249375480817
ATCG01050-ATMG00660,12.665174,,,0.006923709070829871,,0.0028974976228394
ATCG01050-ATMG00670,2.294117,,,0.00378024312838724,,9.01720314904181e-06
ATCG01050-ATMG00680,-0.787211,,,0.0,,1.26262282762165e-13
ATCG01050-ATMG00690,6.326128,,,0.0103494922759697,,0.000627347141040834
ATCG01050-ATMG00710,-0.391752,,,0.000435387099594334,,2.15821660670021e-08
ATCG01050-ATMG00720,1.37186,,,0.0022153135390161607,,5.21183386949034e-07
ATCG01050-ATMG00740,0.935028,,,0.00178638099763397,,2.8120639407017997e-07
ATCG01050-ATMG00870,0.651464,,,0.0,,2.08822593250594e-10
ATCG01050-ATMG00510,-0.687886,,,0.0,,2.8649069327213103e-11
ATCG01050-ATMG00600,-0.5572229999999999,,,1.6274495994544597e-05,,5.998486099998749e-11
ATCG01050-ATMG00630,1.243459,,,0.00159402550417708,,9.45690023083053e-07
ATCG01050-ATMG00050,0.641988,,,0.00217351772696758,,6.92998978855881e-07
ATCG01050-ATMG00070,6.019267,,,0.00571626032177992,,0.000184610465795717
ATCG01050-ATMG00110,5.687755,,,0.0121286560447301,,0.000196863362421792
ATCG01050-ATMG00120,4.432546,,,0.00513005985678398,,6.74900209084037e-06
ATCG01050-ATMG00130,-0.373177,,,0.0004903922021296139,,2.7629166437466496e-08
